Month,Northland,Auckland,Waikato,BayofPlenty,HawkesBayGisborne,TarManWan,Wellington,NelMarlbTas,Canterbury,WestCoast,Otago,Southland,NewZealand
1996M07,66,257,124,159,49,93,111,52,209,27,175,21,"1,342"
1996M08,58,266,111,138,45,89,105,54,210,28,211,23,"1,337"
1996M09,79,264,140,174,62,115,113,79,256,45,214,31,"1,572"
1996M10,96,280,147,177,61,111,119,79,256,57,194,41,"1,621"
1996M11,104,334,159,199,66,112,132,100,324,64,212,54,"1,861"
1996M12,185,337,219,257,87,111,123,171,364,70,262,66,"2,252"
1997M01,279,386,343,419,145,151,142,279,440,96,360,76,"3,117"
1997M02,158,362,205,238,91,122,144,165,363,83,286,78,"2,296"
1997M03,147,377,225,251,90,129,145,150,348,81,282,73,"2,297"
1997M04,108,302,151,198,73,104,119,105,278,57,213,45,"1,752"
1997M05,73,257,112,142,50,87,104,68,192,32,138,29,"1,284"
1997M06,55,224,102,119,45,71,92,56,159,23,112,19,"1,076"
1997M07,70,259,137,164,50,101,102,63,213,27,177,24,"1,387"
1997M08,62,266,113,134,48,100,95,63,202,26,215,22,"1,346"
1997M09,70,239,121,149,52,106,103,67,211,38,182,27,"1,364"
1997M10,102,292,172,210,74,132,127,87,288,55,199,46,"1,783"
1997M11,105,303,152,188,64,108,125,101,300,60,208,54,"1,768"
1997M12,218,301,249,258,91,104,115,179,358,71,244,67,"2,256"
1998M01,380,340,381,429,155,147,137,303,447,92,360,85,"3,257"
1998M02,158,349,219,252,92,115,142,178,367,83,259,77,"2,292"
1998M03,134,339,193,205,82,112,147,147,327,73,246,62,"2,067"
1998M04,130,291,193,216,83,113,135,123,301,64,246,54,"1,949"
1998M05,75,255,129,148,54,85,119,74,189,36,136,34,"1,334"
1998M06,53,224,108,118,39,69,98,53,145,23,104,19,"1,053"
1998M07,60,267,133,170,51,83,137,66,206,30,192,22,"1,417"
1998M08,58,251,115,140,46,81,115,57,201,30,223,24,"1,342"
1998M09,66,253,139,160,56,94,123,72,211,42,208,31,"1,455"
1998M10,99,307,170,218,77,113,146,95,292,62,206,44,"1,828"
1998M11,107,330,154,191,65,97,136,109,303,70,227,57,"1,847"
1998M12,187,312,250,270,90,99,134,189,344,86,271,60,"2,292"
1999M01,280,367,381,452,149,138,163,328,454,116,432,87,"3,347"
1999M02,145,360,205,234,88,111,146,182,358,97,294,82,"2,303"
