Month,Australia,Cook Islands,Fiji,Samoa,ChinaPRo,India,Thailand,UK,USA,Total
1998M09,29028,754,2971,819,1076,746,1082,14496,7718,84696
1998M10,28204,643,2348,696,1153,946,1012,9581,6195,73277
1998M11,21173,440,1673,640,1283,1241,652,5140,4201,56352
1998M12,23630,660,1886,1383,1763,2441,873,6340,4942,76076
1999M01,25763,842,2596,2052,1842,2545,833,5410,5029,79016
1999M02,15499,379,1312,787,1276,1407,494,3124,3681,45012
1999M03,17728,309,1472,558,1219,1002,382,4098,3829,45741
1999M04,24322,478,1974,466,1466,782,563,7737,5340,62985
1999M05,19805,429,2226,867,1306,628,537,11494,5746,63938
1999M06,25914,671,3860,783,1277,690,813,16284,7593,84554
1999M07,30210,601,3430,895,1444,716,981,16192,7959,90717
1999M08,29547,667,2763,645,1228,666,770,14099,7011,80941
1999M09,30987,671,2895,883,1547,899,870,14994,7404,89620
1999M10,25098,463,2346,723,1515,1091,687,12664,5957,72713
1999M11,21480,363,1733,798,1461,1432,789,7403,4570,59725
1999M12,21799,788,1848,1680,2253,2028,992,6173,4145,72400
2000M01,23203,1071,1936,2403,2285,2270,862,5418,4109,74217
2000M02,16546,414,1052,920,1485,1539,547,3023,3520,46971
2000M03,19493,335,1350,682,1288,1104,481,3813,3319,48017
2000M04,28882,552,2205,964,1645,1055,915,6891,5153,71445
2000M05,21637,609,1758,867,1243,755,764,10609,5302,66311
2000M06,26246,844,926,887,1369,630,1113,16382,7087,83388
2000M07,32920,1073,991,941,1468,556,1361,17193,8373,96868
2000M08,29036,924,710,764,1389,645,1103,14251,6827,81436
2000M09,29040,870,1843,896,2119,796,947,13721,8383,87500
2000M10,26465,739,2221,621,2297,1063,880,9485,6724,75155
2000M11,23891,610,1790,559,2350,1224,823,6039,5235,64892
2000M12,27388,779,1548,1363,3998,2372,1189,6755,6116,87728
2001M01,27603,1052,1536,2073,3951,2771,1241,5771,6022,87091
2001M02,17299,596,865,955,2294,1428,670,3662,4431,51573
2001M03,19058,638,812,601,1639,802,443,4043,4122,49368
2001M04,26343,792,1463,553,1798,883,875,6894,5390,68530
2001M05,21205,694,1385,652,1581,581,787,8984,5464,64187
2001M06,24543,887,2565,720,1899,564,1069,12576,7324,80523
2001M07,29679,932,3045,1151,1969,573,1743,13959,8624,92792
2001M08,26215,794,2839,695,1420,710,1354,12527,7209,79735
2001M09,30642,830,2653,658,1921,1063,1372,12062,6962,87737
2001M10,25180,614,2238,578,2202,1228,1174,7825,5211,69777
2001M11,20971,598,1457,450,2934,1492,971,4775,3903,59418
