Time,Rec_goods,Clothing,Footwear,Chemist
1995M05,103.2,138.2,24.6,85.4
1995M06,95.9,119.6,20.6,89.9
1995M07,98,121.1,20.2,84.1
1995M08,101.2,111,16.6,91.1
1995M09,103.6,109.4,17.7,87.7
1995M10,109.4,113.2,19.7,87
1995M11,129.1,121.1,21.1,89.8
1995M12,201.1,159.7,27.1,111.1
1996M01,121.4,109.7,21.2,89.5
1996M02,116.5,102.5,17.8,86
1996M03,120.3,121,20.5,84.5
1996M04,105.7,124.6,22.1,83.8
1996M05,109.6,137.4,21.8,86.8
1996M06,108.5,114.3,19.3,76
1996M07,107.6,114.7,19.5,80.5
1996M08,108.5,105.3,15,90.1
1996M09,114.9,104.3,16.1,89.4
1996M10,128.4,114,18.8,91.4
1996M11,136.7,111.6,17.9,94.9
1996M12,213.9,154.2,23.9,115
1997M01,128.5,106.2,21.2,95.6
1997M02,121,91.4,16.8,86.5
1997M03,132.3,114.2,17.8,86.4
1997M04,117.2,133.7,21.9,92.8
1997M05,115,131.4,21.4,100
1997M06,112.3,114.9,18.3,94.6
1997M07,117.6,116.6,18.4,97.6
1997M08,114.6,99.6,16.8,101.4
1997M09,124.6,101.4,15.3,99.5
1997M10,130.1,115.3,19.6,104.7
1997M11,131.3,118.4,18.6,100.7
1997M12,225.4,161.1,24.8,122.9
1998M01,127.6,107.3,20.2,100.9
1998M02,123.1,91.1,16.7,94.3
1998M03,132.2,116,18.2,93.7
1998M04,116.4,126.1,20.6,94.7
1998M05,108.3,128.4,20.2,94.7
1998M06,113.4,115.4,16.8,91.8
1998M07,113.8,120.5,18.9,95.3
1998M08,110.1,103.2,16.6,95.5
1998M09,118.8,104.6,16,94.2
1998M10,120.7,113.6,20.1,94.3
1998M11,138.2,119.5,19.4,91.8
1998M12,226.3,157,24.8,114.5
1999M01,123.6,109.1,21.1,92.3
1999M02,122.9,97.4,17.1,87.2
1999M03,130.1,120.1,16.8,95.4
1999M04,124.2,133.3,21.7,91.9
1999M05,114.4,129.7,19.2,91.7
1999M06,115.5,119.9,17.4,94.7
1999M07,115.5,125,17.6,95.5
1999M08,111.2,114.7,15.8,95.2
1999M09,126.7,122,17.5,98.7
1999M10,128.3,123.4,18.6,98.5
1999M11,136.8,126.8,17.7,101.2
1999M12,228.2,175.3,24.4,130.2
2000M01,134.1,119.5,19.7,93.8
2000M02,133,111.6,16.5,92.2
2000M03,136.2,131.7,19.5,95.9
2000M04,120.4,140.4,21.1,89
2000M05,126.2,135.6,20.2,95.3
2000M06,119.8,128.6,18,97.7
2000M07,122.5,129.3,18.4,97.1
2000M08,122.3,123.4,15.9,99.7
2000M09,131.2,131.9,16.6,98.7
