Date,Business,Conventions/Conferences,Education,Holiday/Vacation,Unspecified/NotCollected,Other,VisitFriends/Relatives,TOTALALLTRAVELPURPOSES
1998M09,6387,806,0,23772,3660,7247,16058,57930
1998M10,6798,927,0,28969,4509,8217,18782,68203
1998M11,7068,1021,0,40648,5286,7693,22654,84370
1998M12,5682,645,0,48160,6450,6793,46123,113853
1999M01,5454,763,0,55272,6256,6921,47463,122130
1999M02,6972,1001,0,63326,6674,8546,37787,124305
1999M03,6697,943,0,50928,5927,8621,30990,104106
1999M04,6009,716,0,37240,5063,8117,26269,83414
1999M05,6210,918,0,23075,4201,7641,17755,59800
1999M06,5686,570,0,18325,4048,7817,15979,52426
1999M07,6010,992,0,24267,4535,9064,19672,64539
1999M08,6238,1058,527,26396,4257,8256,18494,65227
1999M09,6847,1187,1394,25213,4081,7888,17685,64295
1999M10,7266,822,2319,32140,4442,8044,19520,74554
1999M11,7877,947,2521,47533,4671,7998,25671,97217
1999M12,6585,504,2422,52713,5198,6722,51966,126109
2000M01,6214,602,3433,60352,4852,6098,54617,136167
2000M02,8169,1284,5375,67851,4718,5777,46058,139231
2000M03,7253,791,6008,55838,3984,5471,37248,116593
2000M04,5591,797,6174,41449,3568,4743,32964,95288
2000M05,5734,714,6171,26373,3216,4392,21301,67900
2000M06,5527,616,6363,20887,3000,3990,18535,58918
2000M07,6122,990,7862,28937,3537,4658,22796,74902
2000M08,6116,910,8036,30832,3476,4273,21621,75263
2000M09,5614,680,7981,27848,3355,4118,20343,69939
2000M10,6322,1036,8541,34019,3611,4434,21888,79850
2000M11,6877,979,8364,54182,4041,4667,27743,106854
2000M12,6150,751,6820,61795,4999,4906,57090,142512
2001M01,5956,740,6388,72337,5580,5950,60193,157145
2001M02,7473,1226,8528,77260,5626,5925,46471,152509
2001M03,7336,1129,9107,64816,4881,5565,38504,131338
2001M04,6340,908,9200,45470,4710,5081,34591,106300
2001M05,6871,738,9129,29457,4274,4417,23347,78232
2001M06,6495,446,9492,23404,4046,4726,21834,70443
2001M07,6268,724,11802,33333,4806,5634,25440,88007
2001M08,6591,1427,11840,35522,4556,5773,24405,90114
2001M09,6599,993,11368,31999,4150,5554,22689,83352
2001M10,6975,1288,12053,38125,4103,6241,25403,94188
2001M11,8134,933,11900,51482,4826,6514,29056,112844
2001M12,7215,937,10675,62305,5682,6751,57006,150571
2002M01,6845,806,10330,74045,5935,7458,62531,167950
2002M02,8528,863,13074,81578,6163,7274,50599,168080
2002M03,8031,1231,13981,71116,5542,7827,43590,151318
2002M04,6979,1020,15093,49141,5349,7365,35056,120003
2002M05,6569,617,14171,33455,4864,6391,25211,91278
2002M06,6594,622,14413,26257,4450,6547,22594,81478
2002M07,6779,889,17099,36336,4965,7546,26555,100170
2002M08,7084,757,17035,37589,4383,7433,24136,98417
2002M09,7419,937,16076,32728,3897,7330,23590,91976
2002M10,8266,814,16455,41395,3617,7634,27051,105233
2002M11,8988,1094,16307,59723,3796,7813,31621,129342
2002M12,7659,644,13738,72385,4626,8404,62614,170070
2003M01,8098,907,13384,84374,5148,9092,65820,186824
2003M02,10110,1342,15976,91627,5042,9120,53866,187082
2003M03,9613,1309,16401,77140,4560,8833,45030,162886
2003M04,8247,925,15163,52047,4019,8115,39132,127647
2003M05,7582,516,14510,32199,3258,7306,26509,91881
2003M06,7210,622,13930,26394,3049,7115,24312,82633
