Date,Total residential,Hostels_boarding,Hotels,Hospitals,Education,Social_cultural_religious,Retail,Offices,Storage,Industrial,Farm,Misc,Total non-residential,All buildings,Non-building construction,Total building and construction,Residential buildings incl hostels,Non-residential buildings excl. hostels
1990M04,3524,2,14,13,25,72,84,133,18,113,248,11,733,4257,166,4423,3526,731
1990M05,4553,3,29,21,35,81,109,148,18,211,357,19,1031,5584,176,5760,4556,1028
1990M06,3803,6,19,24,22,74,108,152,30,150,310,21,916,4719,134,4853,3809,910
1990M07,3792,3,21,20,40,75,150,154,10,169,363,18,1023,4815,129,4944,3795,1020
1990M08,4066,5,23,15,33,86,137,153,29,191,275,18,965,5031,166,5197,4071,960
1990M09,3839,6,13,21,46,92,152,136,21,172,207,29,895,4734,165,4899,3845,889
1990M10,4391,4,27,24,42,93,193,131,24,174,212,21,945,5336,234,5570,4395,941
1990M11,4674,3,26,16,57,95,158,150,20,181,258,13,977,5651,285,5936,4677,974
1990M12,3402,7,16,13,64,80,82,98,24,120,200,13,717,4119,211,4330,3409,710
1991M01,2837,3,12,14,47,71,64,101,22,130,160,12,636,3473,151,3624,2840,633
1991M02,2933,5,11,20,44,92,90,110,31,100,152,12,667,3600,128,3728,2938,662
1991M03,3516,3,8,16,34,62,96,120,45,100,187,6,677,4193,147,4340,3519,674
1991M04,3335,7,10,16,40,94,88,101,22,116,177,9,680,4015,113,4128,3342,673
1991M05,3813,8,11,30,47,91,134,123,18,106,242,15,825,4638,157,4795,3821,817
1991M06,3064,4,12,15,54,81,118,102,22,111,214,11,744,3808,128,3936,3068,740
1991M07,3629,4,21,23,48,102,174,127,36,124,258,16,933,4562,135,4697,3633,929
1991M08,3360,7,18,16,55,82,160,134,24,107,197,9,809,4169,133,4302,3367,802
1991M09,3623,2,22,36,48,85,194,123,35,133,216,12,906,4529,128,4657,3625,904
1991M10,3950,4,36,17,31,100,171,109,32,147,206,10,863,4813,176,4989,3954,859
1991M11,3979,6,21,18,32,102,157,99,27,149,249,6,866,4845,179,5024,3985,860
1991M12,3374,5,21,34,74,92,84,105,23,133,197,18,786,4160,150,4310,3379,781
1992M01,2764,5,24,15,53,95,110,82,23,97,192,6,702,3466,113,3579,2769,697
1992M02,3062,1,10,16,43,76,85,121,17,105,211,8,693,3755,159,3914,3063,692
1992M03,3774,4,19,39,43,97,119,123,32,110,277,10,873,4647,154,4801,3778,869
1992M04,3557,7,12,21,48,67,117,104,19,118,331,12,856,4413,100,4513,3564,849
1992M05,3373,4,18,27,38,80,128,93,20,121,334,8,871,4244,120,4364,3377,867
1992M06,3399,6,33,28,50,82,131,123,30,145,333,13,974,4373,129,4502,3405,968
1992M07,3427,2,35,28,45,97,143,181,25,154,327,12,1049,4476,116,4592,3429,1047
1992M08,3169,5,30,20,52,79,164,144,31,145,235,13,918,4087,120,4207,3174,913
1992M09,3301,4,25,28,50,102,194,152,35,152,235,15,992,4293,140,4433,3305,988
1992M10,3582,7,39,25,46,76,192,151,20,138,256,16,966,4548,180,4728,3589,959
1992M11,3868,9,32,22,47,84,156,149,26,133,320,22,1000,4868,195,5063,3877,991
1992M12,4052,14,24,33,141,110,167,165,40,186,399,20,1299,5351,178,5529,4066,1285
1993M01,2763,5,23,19,100,69,96,120,38,75,196,8,749,3512,115,3627,2768,744
1993M02,3038,6,17,20,86,64,92,122,39,101,260,20,827,3865,126,3991,3044,821
1993M03,3740,17,28,27,93,74,124,164,50,99,299,26,1001,4741,154,4895,3757,984
1993M04,3479,11,20,31,83,87,90,152,34,118,342,43,1011,4490,144,4634,3490,1000
1993M05,3676,8,21,35,131,57,160,186,34,174,420,38,1264,4940,197,5137,3684,1256
1993M06,3639,11,29,38,114,88,163,207,31,141,406,35,1263,4902,162,5064,3650,1252
1993M07,3494,8,27,45,111,97,183,189,41,150,356,42,1249,4743,149,4892,3502,1241
1993M08,3794,9,40,28,103,83,193,171,56,145,293,29,1150,4944,148,5092,3803,1141
1993M09,3929,5,55,25,126,98,199,200,49,187,299,29,1272,5201,143,5344,3934,1267
1993M10,3679,11,31,33,96,90,203,169,38,182,234,32,1119,4798,182,4980,3690,1108
1993M11,4221,11,47,25,172,88,213,164,41,200,306,40,1307,5528,241,5769,4232,1296
1993M12,3669,7,28,17,195,92,161,180,50,168,296,33,1227,4896,214,5110,3676,1220
1994M01,2935,7,18,17,175,61,130,154,36,108,213,29,948,3883,155,4038,2942,941
1994M02,3625,3,23,21,129,70,140,149,44,121,280,29,1009,4634,177,4811,3628,1006
1994M03,4412,5,19,28,128,88,146,202,47,184,332,33,1212,5624,189,5813,4417,1207
1994M04,3627,11,33,32,88,82,125,172,29,173,326,33,1104,4731,157,4888,3638,1093
1994M05,4594,5,34,37,145,102,185,233,52,175,398,39,1405,5999,202,6201,4599,1400
1994M06,3994,16,50,24,105,79,183,242,49,171,415,46,1380,5374,194,5568,4010,1364
1994M07,4116,8,33,30,87,91,215,192,57,179,317,33,1242,5358,154,5512,4124,1234
1994M08,4473,6,47,26,114,89,241,236,60,185,292,34,1330,5803,193,5996,4479,1324
1994M09,4322,8,55,24,91,99,236,231,71,228,262,44,1349,5671,206,5877,4330,1341
1994M10,4456,1,56,21,104,83,206,245,57,178,275,34,1260,5716,220,5936,4457,1259
1994M11,5230,9,32,38,155,95,228,238,62,220,344,29,1450,6680,253,6933,5239,1441
1994M12,3969,9,45,23,234,106,153,201,49,193,309,30,1352,5321,239,5560,3978,1343
1995M01,3093,5,17,13,157,64,111,177,38,148,214,29,973,4066,221,4287,3098,968
1995M02,3859,4,25,21,119,50,140,178,39,140,265,36,1017,4876,219,5095,3863,1013
1995M03,4497,10,35,26,135,72,188,236,41,173,368,50,1334,5831,252,6083,4507,1324
1995M04,3369,4,18,20,101,67,127,173,38,138,290,31,1007,4376,206,4582,3373,1003
1995M05,4299,9,32,27,147,84,191,264,57,237,409,44,1501,5800,271,6071,4308,1492
1995M06,3769,13,45,35,86,100,175,222,48,166,331,55,1276,5045,246,5291,3782,1263
1995M07,3427,17,37,23,92,65,189,223,45,205,306,63,1265,4692,205,4897,3444,1248
1995M08,3996,9,49,36,100,74,225,251,57,191,254,58,1304,5300,292,5592,4005,1295
1995M09,3986,10,42,25,97,83,254,227,48,210,225,49,1270,5256,309,5565,3996,1260
1995M10,4552,10,44,30,135,79,266,234,49,191,279,42,1359,5911,341,6252,4562,1349
1995M11,4807,14,45,34,230,87,222,229,82,221,332,53,1549,6356,380,6736,4821,1535
1995M12,3863,16,30,30,292,74,152,218,67,205,279,34,1397,5260,353,5613,3879,1381
1996M01,3333,4,30,22,256,73,141,174,62,149,265,24,1200,4533,287,4820,3337,1196
1996M02,4155,6,37,26,164,74,162,194,68,175,260,40,1206,5361,258,5619,4161,1200
1996M03,4852,7,32,36,142,88,193,239,57,193,356,35,1378,6230,372,6602,4859,1371
1996M04,4474,5,24,35,139,71,158,218,54,159,355,39,1257,5731,323,6054,4479,1252
1996M05,5067,7,32,55,136,100,204,257,49,228,447,37,1552,6619,391,7010,5074,1545
1996M06,3718,23,25,33,86,63,164,212,78,203,349,11,1247,4965,217,5182,3741,1224
1996M07,4117,19,54,26,120,74,235,264,105,212,342,12,1463,5580,238,5818,4136,1444
1996M08,3902,20,45,38,120,79,234,257,97,221,249,16,1376,5278,242,5520,3922,1356
1996M09,3994,9,41,33,121,88,268,205,91,208,214,19,1297,5291,278,5569,4003,1288
1996M10,4441,12,45,30,157,86,269,217,61,192,257,16,1342,5783,302,6085,4453,1330
1996M11,4688,10,34,36,199,63,215,212,84,194,280,18,1345,6033,385,6418,4698,1335
1996M12,4010,22,25,31,326,79,185,189,89,163,259,17,1385,5395,343,5738,4032,1363
1997M01,3541,10,27,26,234,69,147,181,58,139,218,10,1119,4660,293,4953,3551,1109
1997M02,3822,14,16,38,155,51,166,175,70,143,255,8,1091,4913,239,5152,3836,1077
1997M03,3995,14,30,27,146,59,136,151,72,141,261,8,1045,5040,251,5291,4009,1031
1997M04,4660,18,29,30,191,77,185,198,75,160,297,9,1269,5929,293,6222,4678,1251
1997M05,4590,13,40,26,140,100,201,215,90,168,381,14,1388,5978,277,6255,4603,1375
1997M06,4295,17,49,38,139,83,218,220,67,212,330,9,1382,5677,238,5915,4312,1365
1997M07,4792,21,50,40,169,93,254,239,80,239,338,18,1541,6333,249,6582,4813,1520
1997M08,4246,21,35,39,98,82,230,188,65,200,213,8,1179,5425,225,5650,4267,1158
1997M09,5142,13,47,29,149,97,267,216,72,228,207,14,1339,6481,277,6758,5155,1326
1997M10,4790,18,47,46,163,88,268,210,79,169,224,9,1321,6111,323,6434,4808,1303
1997M11,4812,17,36,40,201,68,252,177,62,170,246,12,1281,6093,318,6411,4829,1264
1997M12,4456,23,41,29,308,90,188,189,84,157,257,10,1376,5832,333,6165,4479,1353
1998M01,3329,15,15,26,225,65,160,161,54,150,176,13,1060,4389,228,4617,3344,1045
1998M02,4009,17,18,21,166,71,168,146,58,121,218,12,1016,5025,260,5285,4026,999
1998M03,4473,23,30,42,216,79,194,157,72,154,257,9,1233,5706,359,6065,4496,1210
1998M04,3972,30,30,32,228,91,188,159,56,120,259,16,1209,5181,298,5479,4002,1179
1998M05,3924,22,31,35,190,93,197,191,65,141,319,17,1301,5225,281,5506,3946,1279
1998M06,3614,25,36,51,168,72,196,226,70,170,269,24,1307,4921,238,5159,3639,1282
1998M07,3832,22,40,43,177,107,227,212,55,167,277,15,1342,5174,279,5453,3854,1320
1998M08,3658,17,33,32,115,96,247,195,64,182,201,15,1197,4855,247,5102,3675,1180
1998M09,4136,19,47,48,153,94,225,190,66,150,215,21,1228,5364,289,5653,4155,1209
1998M10,4018,21,46,46,152,89,269,168,63,162,219,15,1250,5268,324,5592,4039,1229
1998M11,4845,26,33,46,199,80,233,209,60,142,266,16,1310,6155,404,6559,4871,1284
1998M12,4175,35,33,48,379,95,182,199,53,155,292,9,1480,5655,400,6055,4210,1445
1999M01,3203,8,23,26,232,73,129,148,39,124,185,14,1001,4204,279,4483,3211,993
1999M02,3852,12,28,33,155,88,144,146,52,129,233,9,1029,4881,309,5190,3864,1017
1999M03,5238,28,39,44,184,79,195,213,54,141,290,12,1279,6517,392,6909,5266,1251
1999M04,4770,15,37,33,181,75,177,207,60,143,270,15,1213,5983,320,6303,4785,1198
1999M05,4753,29,37,45,149,67,187,217,56,151,304,25,1267,6020,331,6351,4782,1238
1999M06,4453,16,56,35,152,76,219,212,55,163,317,15,1316,5769,298,6067,4469,1300
1999M07,4860,36,40,29,123,86,218,207,63,191,296,17,1306,6166,271,6437,4896,1270
1999M08,4842,21,49,36,125,81,269,271,63,164,276,5,1360,6202,265,6467,4863,1339
1999M09,5158,25,57,38,138,93,269,210,54,191,251,18,1344,6502,333,6835,5183,1319
1999M10,4660,21,44,24,126,79,222,187,39,197,195,8,1142,5802,392,6194,4681,1121
1999M11,5074,31,49,47,187,102,303,220,59,187,251,25,1461,6535,430,6965,5105,1430
1999M12,4323,15,33,32,324,97,183,190,64,188,280,15,1421,5744,392,6136,4338,1406
2000M01,3038,16,18,28,189,57,112,154,43,128,157,11,913,3951,192,4143,3054,897
2000M02,3669,18,26,19,137,71,151,168,43,147,268,13,1061,4730,271,5001,3687,1043
2000M03,4777,18,17,27,176,82,201,191,52,186,302,10,1262,6039,341,6380,4795,1244
2000M04,3326,13,20,22,160,59,150,123,43,131,248,10,979,4305,251,4556,3339,966
2000M05,4617,19,36,41,186,83,229,232,65,207,442,14,1554,6171,345,6516,4636,1535
2000M06,3818,16,41,35,162,90,202,221,57,175,357,17,1373,5191,277,5468,3834,1357
2000M07,3788,16,47,33,144,66,221,195,46,190,350,13,1321,5109,263,5372,3804,1305
2000M08,4084,13,46,38,129,109,285,196,70,175,319,13,1393,5477,281,5758,4097,1380
