Date,TOTALARRIVALS,TOTALDEPARTURES,TOTALALLAGES
1978M04,988,3320,-2332
1978M05,912,3320,-2408
1978M06,840,3136,-2296
1978M07,804,3048,-2244
1978M08,952,3248,-2296
1978M09,908,2816,-1908
1978M10,1044,2816,-1772
1978M11,1164,2324,-1160
1978M12,2508,3264,-756
1979M01,1620,6056,-4436
1979M02,1168,4140,-2972
1979M03,1028,4272,-3244
1979M04,940,4264,-3324
1979M05,948,3892,-2944
1979M06,936,3956,-3020
1979M07,738,3676,-2938
1979M08,855,3806,-2951
1979M09,913,3569,-2656
1979M10,779,2980,-2201
1979M11,1081,2553,-1472
1979M12,2031,3226,-1195
1980M01,1595,4017,-2422
1980M02,1220,3404,-2184
1980M03,1256,3567,-2311
1980M04,1052,3207,-2155
1980M05,1209,3119,-1910
1980M06,1102,3156,-2054
1980M07,901,2846,-1945
1980M08,1052,3220,-2168
1980M09,872,3255,-2383
1980M10,1014,3283,-2269
1980M11,1143,3358,-2215
1980M12,2109,3818,-1709
1981M01,1512,5274,-3762
1981M02,883,2957,-2074
1981M03,1216,4990,-3774
1981M04,1024,3608,-2584
1981M05,1145,3949,-2804
1981M06,823,4236,-3413
1981M07,859,1923,-1064
1981M08,909,2603,-1694
1981M09,921,2180,-1259
1981M10,1110,2340,-1230
1981M11,1196,2054,-858
1981M12,2314,2983,-669
1982M01,1419,3501,-2082
1982M02,1269,2841,-1572
1982M03,1131,2716,-1585
1982M04,1169,2580,-1411
1982M05,1153,2533,-1380
1982M06,875,2088,-1213
1982M07,952,2241,-1289
1982M08,998,2046,-1048
1982M09,1065,1857,-792
1982M10,1272,1734,-462
1982M11,1413,1303,110
1982M12,2399,1760,639
1983M01,1840,2174,-334
1983M02,1503,1453,50
1983M03,1439,1327,112
1983M04,1324,1149,175
1983M05,1256,1089,167
1983M06,1053,998,55
1983M07,1176,987,189
1983M08,1097,922,175
1983M09,1105,1004,101
1983M10,1164,953,211
1983M11,1350,933,417
1983M12,2137,1496,641
1984M01,1601,1596,5
1984M02,1257,1511,-254
1984M03,1251,1459,-208
1984M04,1079,1417,-338
1984M05,1099,1544,-445
1984M06,911,1463,-552
1984M07,885,1406,-521
1984M08,806,1516,-710
1984M09,884,1475,-591
1984M10,851,1510,-659
1984M11,971,1489,-518
1984M12,1777,2131,-354
1985M01,1406,2606,-1200
1985M02,889,2503,-1614
1985M03,979,2904,-1925
1985M04,782,2633,-1851
1985M05,832,2576,-1744
1985M06,688,2619,-1931
1985M07,727,2413,-1686
1985M08,873,2426,-1553
1985M09,797,2503,-1706
1985M10,644,2183,-1539
1985M11,853,2517,-1664
1985M12,1401,2839,-1438
1986M01,1264,3732,-2468
1986M02,898,3160,-2262
1986M03,898,3634,-2736
1986M04,947,3047,-2100
1986M05,892,3218,-2326
1986M06,763,3063,-2300
1986M07,766,2660,-1894
1986M08,858,3066,-2208
1986M09,766,2667,-1901
1986M10,957,2465,-1508
1986M11,1167,2322,-1155
1986M12,1931,2674,-743
1987M01,1596,3326,-1730
1987M02,1348,2862,-1514
1987M03,1397,2950,-1553
1987M04,1041,2832,-1791
1987M05,1173,2956,-1783
1987M06,967,2508,-1541
1987M07,1054,2445,-1391
1987M08,1076,2684,-1608
1987M09,1022,2917,-1895
1987M10,1173,3072,-1899
1987M11,1014,2921,-1907
1987M12,1619,3448,-1829
1988M01,1510,4632,-3122
1988M02,1146,4128,-2982
1988M03,928,4175,-3247
1988M04,902,4012,-3110
1988M05,922,3566,-2644
1988M06,747,3341,-2594
1988M07,859,3478,-2619
1988M08,641,3126,-2485
1988M09,815,3696,-2881
1988M10,763,3664,-2901
1988M11,876,3187,-2311
1988M12,1572,4083,-2511
1989M01,1280,4698,-3418
1989M02,1133,3985,-2852
1989M03,1007,3756,-2749
1989M04,967,3583,-2616
1989M05,1014,3068,-2054
1989M06,923,2542,-1619
1989M07,1094,2450,-1356
1989M08,976,2011,-1035
1989M09,986,2132,-1146
1989M10,1136,1675,-539
1989M11,1176,1722,-546
1989M12,2305,2307,-2
1990M01,1775,2502,-727
1990M02,1532,2121,-589
1990M03,1533,2140,-607
1990M04,1488,1825,-337
1990M05,1350,1499,-149
1990M06,1304,1631,-327
1990M07,1319,1450,-131
1990M08,1352,1271,81
1990M09,1381,1310,71
1990M10,1480,1122,358
1990M11,1556,1090,466
1990M12,2599,1647,952
1991M01,1923,1980,-57
1991M02,1587,1456,131
1991M03,1496,1338,158
1991M04,1178,1112,66
1991M05,1112,1174,-62
1991M06,937,1060,-123
1991M07,936,993,-57
1991M08,957,967,-10
1991M09,906,1116,-210
1991M10,906,1148,-242
1991M11,1068,1385,-317
1991M12,1470,1630,-160
1992M01,1416,2025,-609
1992M02,1226,1449,-223
1992M03,1077,1395,-318
1992M04,1071,1202,-131
1992M05,957,1273,-316
1992M06,883,1132,-249
1992M07,754,1123,-369
1992M08,806,1178,-372
1992M09,825,1233,-408
1992M10,899,1206,-307
1992M11,1023,1037,-14
1992M12,1451,1783,-332
1993M01,1441,1840,-399
1993M02,1097,1369,-272
1993M03,900,1339,-439
1993M04,879,1197,-318
1993M05,809,1168,-359
