Date,ArrivalsActualCounts,DeparturesActualCounts
1921M04,1860,212
1921M05,816,178
1921M06,565,183
1921M07,1971,153
1921M08,1350,184
1921M09,832,119
1921M10,1861,137
1921M11,877,131
1921M12,1003,149
1922M01,1111,146
1922M02,2050,133
1922M03,1306,179
1922M04,1668,263
1922M05,1080,251
1922M06,806,233
1922M07,522,158
1922M08,700,156
1922M09,1311,170
1922M10,1259,149
1922M11,925,134
1922M12,1107,178
1923M01,1592,127
1923M02,857,284
1923M03,656,237
1923M04,760,270
1923M05,1007,249
1923M06,592,294
1923M07,557,164
1923M08,939,218
1923M09,534,204
1923M10,1785,201
1923M11,950,153
1923M12,1533,73
1924M01,1006,139
1924M02,1710,184
1924M03,714,246
1924M04,1034,197
1924M05,936,222
1924M06,1235,238
1924M07,1138,201
1924M08,684,188
1924M09,1150,201
1924M10,822,150
1924M11,1899,146
1924M12,1986,144
1925M01,1536,94
1925M02,1772,160
1925M03,1915,190
1925M04,975,185
1925M05,1068,244
1925M06,989,153
1925M07,1256,142
1925M08,1316,125
1925M09,1061,127
1925M10,1492,208
1925M11,1422,161
1925M12,902,157
1926M01,1334,168
1926M02,703,194
1926M03,2249,216
1926M04,1220,305
1926M05,2505,204
1926M06,899,201
1926M07,625,179
1926M08,1661,215
1926M09,1611,181
1926M10,2116,254
1926M11,1282,191
1926M12,1663,273
1927M01,1882,216
1927M02,1031,202
1927M03,1642,335
1927M04,646,451
1927M05,1368,369
1927M06,645,354
1927M07,599,437
1927M08,445,350
1927M09,602,474
1927M10,699,363
1927M11,743,310
1927M12,1025,284
1928M01,766,350
1928M02,602,330
1928M03,536,377
1928M04,342,507
1928M05,619,338
1928M06,348,329
1928M07,475,312
1928M08,502,333
1928M09,381,265
1928M10,631,275
1928M11,409,270
1928M12,728,268
1929M01,712,206
1929M02,549,195
1929M03,421,338
1929M04,530,315
1929M05,354,330
1929M06,271,279
1929M07,608,234
1929M08,380,295
1929M09,525,222
1929M10,446,220
1929M11,657,220
1929M12,890,239
1930M01,595,223
1930M02,459,280
1930M03,576,301
1930M04,596,270
1930M05,483,310
1930M06,581,181
1930M07,395,244
1930M08,568,160
1930M09,514,142
1930M10,716,99
1930M11,643,97
1930M12,791,142
1931M01,551,146
1931M02,431,174
1931M03,408,320
1931M04,266,284
1931M05,221,252
1931M06,232,298
1931M07,134,224
1931M08,169,220
1931M09,244,180
1931M10,147,190
1931M11,253,213
1931M12,180,191
1932M01,164,198
1932M02,124,246
1932M03,154,348
1932M04,153,395
1932M05,121,364
1932M06,79,258
1932M07,92,224
1932M08,112,195
1932M09,83,258
1932M10,205,169
1932M11,121,162
1932M12,164,123
1933M01,150,192
1933M02,134,201
1933M03,80,409
1933M04,67,360
1933M05,102,364
1933M06,94,313
1933M07,90,211
1933M08,98,312
1933M09,85,187
1933M10,140,227
1933M11,137,184
1933M12,191,249
1934M01,176,215
1934M02,127,221
1934M03,121,317
1934M04,135,277
1934M05,90,397
1934M06,94,256
1934M07,105,204
1934M08,79,291
1934M09,160,218
1934M10,152,303
1934M11,186,222
1934M12,165,262
1935M01,126,295
1935M02,158,369
1935M03,129,498
1935M04,224,498
1935M05,122,433
1935M06,76,326
1935M07,129,400
1935M08,110,274
1935M09,188,289
