Date,ArrivalsActualCounts,DeparturesActualCounts
1921M01,4049,1410
1921M02,3468,1858
1921M03,4558,3129
1921M04,4259,4041
1921M05,2892,3319
1921M06,1986,2920
1921M07,3419,2021
1921M08,3044,1923
1921M09,2759,1997
1921M10,4088,1975
1921M11,2973,1699
1921M12,4387,2245
1922M01,3910,1898
1922M02,4299,2806
1922M03,3112,3523
1922M04,3113,3700
1922M05,2652,2754
1922M06,1982,2848
1922M07,1642,1763
1922M08,2244,2100
1922M09,2906,2018
1922M10,3495,1704
1922M11,2219,1188
1922M12,3659,2079
1923M01,4908,1982
1923M02,2899,2814
1923M03,2383,3628
1923M04,2125,3344
1923M05,2773,2771
1923M06,1918,3223
1923M07,2087,2025
1923M08,2586,2013
1923M09,2146,1973
1923M10,4631,1905
1923M11,3055,2002
1923M12,4942,1981
1924M01,3426,2207
1924M02,4136,3273
1924M03,2383,3762
1924M04,2893,3423
1924M05,2434,3311
1924M06,2373,2765
1924M07,2501,2337
1924M08,2268,1849
1924M09,3345,1929
1924M10,3326,1713
1924M11,4786,1731
1924M12,5844,2282
1925M01,4022,2177
1925M02,4321,2850
1925M03,3984,3445
1925M04,2895,3379
1925M05,2589,3491
1925M06,2572,2349
1925M07,2749,2074
1925M08,3287,1796
1925M09,3038,1727
1925M10,3850,2007
1925M11,4199,1581
1925M12,4268,2290
1926M01,4587,2696
1926M02,3333,3151
1926M03,5026,4195
1926M04,3073,4647
1926M05,4031,2775
1926M06,2343,2649
1926M07,1956,2595
1926M08,3902,2183
1926M09,3634,1903
1926M10,4441,2328
1926M11,4238,1866
1926M12,5051,2815
1927M01,5242,2965
1927M02,3725,3240
1927M03,3953,4021
1927M04,2289,4823
1927M05,3112,3295
1927M06,1977,2833
1927M07,2029,2947
1927M08,2230,2336
1927M09,2340,2828
1927M10,3289,2134
1927M11,3798,2086
1927M12,4461,2710
1928M01,4529,3161
1928M02,3118,3177
1928M03,2427,4744
1928M04,1867,4066
1928M05,2286,2669
1928M06,1563,2511
1928M07,2399,2641
1928M08,2469,3651
1928M09,2675,2042
1928M10,3799,1912
1928M11,3265,1954
1928M12,5027,2490
1929M01,4002,2618
1929M02,3168,3055
1929M03,2271,4448
1929M04,2236,3318
1929M05,1902,3399
1929M06,1751,2623
1929M07,2404,2160
1929M08,1862,2179
1929M09,2665,1862
1929M10,2901,1676
1929M11,3701,1805
1929M12,5558,2457
1930M01,3432,2848
1930M02,3055,3029
1930M03,2335,4040
1930M04,2383,3580
1930M05,2049,3027
1930M06,2089,2081
1930M07,1890,2159
1930M08,2149,1597
1930M09,2267,1441
1930M10,3372,1292
1930M11,3445,1260
1930M12,4016,1908
1931M01,2944,2052
1931M02,2180,2354
1931M03,1898,2823
1931M04,1193,2659
1931M05,1114,1882
1931M06,1270,1851
1931M07,864,1433
1931M08,1086,1172
1931M09,1544,1224
1931M10,1309,1232
1931M11,2549,1388
1931M12,2266,1500
1932M01,1915,1435
