Date,ActualCounts
1921M04,1269
1921M05,1102
1921M06,563
1921M07,530
1921M08,635
1921M09,643
1921M10,911
1921M11,949
1921M12,1923
1922M01,1589
1922M02,1257
1922M03,955
1922M04,772
1922M05,705
1922M06,487
1922M07,393
1922M08,591
1922M09,581
1922M10,854
1922M11,561
1922M12,1277
1923M01,1880
1923M02,1231
1923M03,921
1923M04,636
1923M05,695
1923M06,596
1923M07,618
1923M08,576
1923M09,539
1923M10,1083
1923M11,882
1923M12,1961
1924M01,1359
1924M02,1315
1924M03,957
1924M04,891
1924M05,594
1924M06,492
1924M07,478
1924M08,473
1924M09,687
1924M10,949
1924M11,1129
1924M12,2001
1925M01,1190
1925M02,1342
1925M03,1086
1925M04,844
1925M05,620
1925M06,596
1925M07,497
1925M08,796
1925M09,761
1925M10,1059
1925M11,1225
1925M12,2030
1926M01,1903
1926M02,1549
1926M03,1502
1926M04,855
1926M05,689
1926M06,622
1926M07,508
1926M08,936
1926M09,786
1926M10,851
1926M11,1280
1926M12,1891
1927M01,2026
1927M02,1679
1927M03,1316
1927M04,763
1927M05,656
1927M06,476
1927M07,483
1927M08,658
1927M09,628
1927M10,1044
1927M11,1223
1927M12,1895
1928M01,2104
1928M02,1479
1928M03,1028
1928M04,650
1928M05,760
1928M06,489
1928M07,733
1928M08,889
1928M09,793
1928M10,1099
1928M11,1119
1928M12,2445
1929M01,1820
1929M02,1509
1929M03,993
1929M04,787
1929M05,621
1929M06,680
1929M07,609
1929M08,437
1929M09,817
1929M10,914
1929M11,1304
1929M12,2479
1930M01,1531
1930M02,1588
1930M03,909
1930M04,835
1930M05,650
1930M06,582
1930M07,526
1930M08,503
1930M09,585
1930M10,837
1930M11,1074
1930M12,1583
1931M01,1286
1931M02,954
1931M03,734
1931M04,412
1931M05,366
1931M06,412
1931M07,280
1931M08,346
1931M09,427
1931M10,364
1931M11,979
1931M12,1055
1932M01,989
1932M02,796
1932M03,536
1932M04,476
1932M05,422
1932M06,300
1932M07,344
1932M08,317
1932M09,322
1932M10,711
1932M11,694
1932M12,1376
1933M01,1318
1933M02,976
1933M03,774
1933M04,566
1933M05,565
1933M06,307
1933M07,434
1933M08,415
1933M09,437
1933M10,695
1933M11,804
1933M12,1664
1934M01,1709
1934M02,1244
1934M03,959
1934M04,786
1934M05,491
1934M06,308
1934M07,409
1934M08,505
1934M09,706
1934M10,748
1934M11,1188
1934M12,1827
1935M01,1694
1935M02,1425
1935M03,1086
1935M04,818
1935M05,533
1935M06,442
1935M07,537
1935M08,442
1935M09,744
1935M10,879
1935M11,1304
1935M12,1933
1936M01,1763
1936M02,2067
1936M03,1344
1936M04,778
1936M05,657
1936M06,494
1936M07,624
1936M08,686
1936M09,900
1936M10,1116
1936M11,1502
1936M12,2459
1937M01,2144
1937M02,1796
1937M03,1630
1937M04,1090
1937M05,796
1937M06,500
1937M07,795
1937M08,817
1937M09,837
1937M10,1078
1937M11,1787
1937M12,2761
1938M01,2160
1938M02,2246
1938M03,1780
1938M04,1111
1938M05,878
1938M06,615
1938M07,803
1938M08,721
1938M09,841
1938M10,1265
1938M11,1659
1938M12,2345
1939M01,2749
1939M02,2078
1939M03,1758
1939M04,1310
1939M05,892
1939M06,684
1939M07,616
1939M08,808
1939M09,799
1939M10,762
1939M11,686
1939M12,1009
1940M01,877
1940M02,859
1940M03,638
1940M04,669
1940M05,431
1940M06,367
1940M07,474
1940M08,387
1940M09,726
1940M10,695
1940M11,649
1940M12,620
1941M01,769
1941M02,411
1941M03,399
1941M04,382
1941M05,405
1941M06,226
1941M07,281
1941M08,231
1941M09,236
1941M10,442
1941M11,325
1941M12,355
1942M01,117
1942M02,108
1942M03,214
1942M04,40
1942M05,134
1942M06,88
1942M07,98
1942M08,70
1942M09,96
1942M10,79
1942M11,131
1942M12,159
1943M01,112
1943M02,204
1943M03,174
1943M04,128
1943M05,119
1943M06,104
1943M07,87
1943M08,74
1943M09,92
1943M10,140
1943M11,192
1943M12,250
1944M01,179
1944M02,162
1944M03,301
1944M04,188
1944M05,152
1944M06,192
1944M07,181
1944M08,132
1944M09,249
1944M10,1085
1944M11,240
1944M12,392
1945M01,217
1945M02,321
1945M03,291
1945M04,324
1945M05,194
1945M06,196
1945M07,233
1945M08,181
1945M09,413
1945M10,533
1945M11,448
1945M12,299
1946M01,688
1946M02,1314
1946M03,437
1946M04,916
1946M05,484
1946M06,317
1946M07,318
1946M08,799
1946M09,528
1946M10,755
1946M11,767
1946M12,1349
1947M01,1124
1947M02,885
1947M03,951
1947M04,736
1947M05,719
1947M06,662
1947M07,601
1947M08,490
1947M09,777
1947M10,863
1947M11,1158
1947M12,1564
1948M01,1446
1948M02,1491
1948M03,970
1948M04,858
1948M05,708
1948M06,446
1948M07,566
1948M08,682
1948M09,476
1948M10,762
1948M11,944
1948M12,1603
1949M01,1634
1949M02,1719
1949M03,1321
1949M04,920
1949M05,761
1949M06,642
1949M07,567
1949M08,785
1949M09,811
1949M10,1208
1949M11,1435
1949M12,1756
1950M01,2434
1950M02,1993
1950M03,1404
1950M04,1050
1950M05,1040
1950M06,695
1950M07,829
1950M08,738
1950M09,879
1950M10,1595
1950M11,1620
1950M12,2239
1951M01,2058
1951M02,2185
1951M03,1506
1951M04,1045
1951M05,722
1951M06,612
1951M07,725
1951M08,1019
1951M09,945
1951M10,1677
1951M11,1561
1951M12,2418
1952M01,2232
1952M02,2450
1952M03,1744
1952M04,1355
1952M05,1027
1952M06,1016
1952M07,814
1952M08,898
1952M09,1292
1952M10,1575
1952M11,1662
1952M12,2550
1953M01,2204
1953M02,2558
1953M03,1714
1953M04,1342
1953M05,1108
1953M06,883
1953M07,929
1953M08,992
1953M09,1144
1953M10,1491
1953M11,1891
1953M12,2463
1954M01,2500
1954M02,2631
1954M03,2132
1954M04,1451
1954M05,1255
1954M06,863
1954M07,956
1954M08,1011
1954M09,1203
1954M10,1844
1954M11,1871
1954M12,3194
1955M01,3368
1955M02,2540
1955M03,2390
1955M04,1504
1955M05,1467
1955M06,911
1955M07,1023
1955M08,1171
1955M09,1596
1955M10,2024
1955M11,2228
1955M12,3336
1956M01,3183
1956M02,2659
1956M03,2577
1956M04,2171
1956M05,1398
1956M06,1061
1956M07,1150
1956M08,1332
1956M09,1761
1956M10,2441
1956M11,3903
1956M12,3277
1957M01,3368
1957M02,3162
1957M03,2955
1957M04,2062
1957M05,1330
1957M06,1271
1957M07,1373
1957M08,1540
1957M09,2056
1957M10,2714
1957M11,2824
1957M12,4407
1958M01,3318
1958M02,3619
1958M03,3258
1958M04,2687
1958M05,1413
1958M06,1202
1958M07,1262
1958M08,1597
1958M09,2377
1958M10,2371
1958M11,2753
1958M12,4923
1959M01,3770
1959M02,3817
1959M03,3001
1959M04,2238
1959M05,1551
1959M06,1351
1959M07,1515
1959M08,1787
1959M09,2931
1959M10,3367
1959M11,3482
1959M12,5395
1960M01,4391
1960M02,4598
1960M03,3951
1960M04,2453
1960M05,1783
1960M06,1568
1960M07,1599
1960M08,1944
1960M09,2874
1960M10,3862
1960M11,3952
1960M12,6159
1961M01,5213
1961M02,5171
1961M03,4346
1961M04,2921
1961M05,2504
1961M06,1966
1961M07,2128
1961M08,3166
1961M09,3682
1961M10,5567
1961M11,5184
1961M12,7181
1962M01,6185
1962M02,6601
1962M03,4603
1962M04,3351
1962M05,2936
1962M06,2336
1962M07,2485
1962M08,3026
1962M09,4107
1962M10,6172
1962M11,6798
1962M12,8325
1963M01,7241
1963M02,6584
1963M03,5524
1963M04,3754
1963M05,3268
1963M06,2690
1963M07,2720
1963M08,4071
1963M09,5063
1963M10,6959
1963M11,7142
1963M12,10504
1964M01,8139
1964M02,8552
1964M03,6842
1964M04,4195
1964M05,4163
1964M06,3205
1964M07,2993
1964M08,4308
1964M09,5469
1964M10,7750
1964M11,8672
1964M12,11641
1965M01,9716
1965M02,11456
1965M03,8467
1965M04,5430
1965M05,4992
1965M06,3478
1965M07,3955
1965M08,5725
1965M09,7109
1965M10,9266
1965M11,9789
1965M12,14859
1966M01,12187
1966M02,11207
1966M03,10019
1966M04,6678
1966M05,6692
1966M06,4377
1966M07,5105
1966M08,7678
1966M09,7285
1966M10,10992
1966M11,10146
1966M12,15729
1967M01,14587
1967M02,12457
1967M03,11145
1967M04,7998
1967M05,6875
1967M06,6285
1967M07,7487
1967M08,7701
1967M09,7574
1967M10,9441
1967M11,10765
1967M12,17169
1968M01,14541
1968M02,14265
1968M03,13087
1968M04,7891
1968M05,7368
1968M06,6059
