Date,ActualCounts
1921M04,1900
1921M05,1668
1921M06,1300
1921M07,825
1921M08,820
1921M09,1032
1921M10,953
1921M11,879
1921M12,1211
1922M01,1249
1922M02,1795
1922M03,1927
1922M04,1752
1922M05,1299
1922M06,1291
1922M07,785
1922M08,848
1922M09,818
1922M10,748
1922M11,644
1922M12,895
1923M01,1141
1923M02,1458
1923M03,1781
1923M04,1443
1923M05,1123
1923M06,1298
1923M07,771
1923M08,751
1923M09,830
1923M10,710
1923M11,978
1923M12,799
1924M01,1361
1924M02,1767
1924M03,1557
1924M04,1365
1924M05,1394
1924M06,955
1924M07,855
1924M08,729
1924M09,721
1924M10,757
1924M11,900
1924M12,959
1925M01,1316
1925M02,1506
1925M03,1678
1925M04,1396
1925M05,1381
1925M06,923
1925M07,887
1925M08,784
1925M09,766
1925M10,952
1925M11,833
1925M12,1040
1926M01,1675
1926M02,1830
1926M03,2174
1926M04,2149
1926M05,1325
1926M06,1073
1926M07,1095
1926M08,910
1926M09,778
1926M10,1001
1926M11,921
1926M12,1134
1927M01,1862
1927M02,1880
1927M03,2005
1927M04,1985
1927M05,1264
1927M06,1002
1927M07,950
1927M08,761
1927M09,944
1927M10,736
1927M11,940
1927M12,1085
1928M01,1808
1928M02,1581
1928M03,2374
1928M04,1480
1928M05,1054
1928M06,899
1928M07,927
1928M08,1291
1928M09,816
1928M10,807
1928M11,941
1928M12,1011
1929M01,1608
1929M02,1603
1929M03,2178
1929M04,1393
1929M05,1334
1929M06,1000
1929M07,736
1929M08,786
1929M09,688
1929M10,670
1929M11,883
1929M12,1014
1930M01,1734
1930M02,1582
1930M03,2008
1930M04,1422
1930M05,1300
1930M06,792
1930M07,798
1930M08,692
1930M09,630
1930M10,673
1930M11,720
1930M12,922
1931M01,1348
1931M02,1478
1931M03,1297
1931M04,1201
1931M05,823
1931M06,746
1931M07,620
1931M08,446
1931M09,554
1931M10,555
1931M11,737
1931M12,636
1932M01,840
1932M02,1061
1932M03,1097
1932M04,1085
1932M05,946
1932M06,610
1932M07,487
1932M08,492
1932M09,538
1932M10,418
1932M11,524
1932M12,776
1933M01,1201
1933M02,1091
1933M03,1372
1933M04,916
1933M05,908
1933M06,567
1933M07,492
1933M08,443
1933M09,298
1933M10,534
1933M11,506
1933M12,613
1934M01,1175
1934M02,1394
1934M03,1685
1934M04,1117
1934M05,1058
1934M06,579
1934M07,444
1934M08,476
1934M09,441
1934M10,678
1934M11,693
1934M12,709
1935M01,1408
1935M02,1515
1935M03,1766
1935M04,1266
1935M05,1046
1935M06,558
1935M07,567
1935M08,539
1935M09,466
1935M10,635
1935M11,737
1935M12,923
1936M01,1386
1936M02,1577
1936M03,2346
1936M04,1235
1936M05,1247
1936M06,671
1936M07,589
1936M08,675
1936M09,695
1936M10,900
1936M11,766
1936M12,1079
1937M01,1833
1937M02,1908
1937M03,2256
1937M04,1673
1937M05,1374
1937M06,778
1937M07,698
1937M08,792
1937M09,852
1937M10,887
1937M11,929
1937M12,1070
1938M01,2070
1938M02,1873
1938M03,2918
1938M04,1844
1938M05,1529
1938M06,914
1938M07,760
1938M08,804
1938M09,858
1938M10,680
1938M11,1058
1938M12,1075
1939M01,2209
1939M02,2317
1939M03,2167
1939M04,1898
1939M05,1715
1939M06,926
1939M07,806
1939M08,928
1939M09,1129
1939M10,701
1939M11,550
1939M12,707
1940M01,737
1940M02,833
1940M03,971
1940M04,770
1940M05,867
1940M06,604
1940M07,654
1940M08,409
1940M09,422
1940M10,441
1940M11,517
1940M12,382
1941M01,484
1941M02,420
1941M03,507
1941M04,499
1941M05,487
1941M06,314
1941M07,434
1941M08,124
1941M09,407
1941M10,229
1941M11,265
1941M12,302
1942M01,238
1942M02,139
1942M03,64
1942M04,129
1942M05,81
1942M06,235
1942M07,61
1942M08,113
1942M09,65
1942M10,103
1942M11,80
1942M12,103
1943M01,94
1943M02,102
1943M03,170
1943M04,177
1943M05,87
1943M06,141
1943M07,80
1943M08,56
1943M09,82
1943M10,63
1943M11,89
1943M12,144
1944M01,85
1944M02,220
1944M03,163
1944M04,156
1944M05,155
1944M06,200
1944M07,139
1944M08,179
1944M09,199
1944M10,197
1944M11,220
1944M12,178
1945M01,215
1945M02,214
1945M03,477
1945M04,218
1945M05,331
1945M06,246
1945M07,193
1945M08,251
1945M09,357
1945M10,346
1945M11,278
1945M12,405
1946M01,345
1946M02,348
1946M03,410
1946M04,531
1946M05,1021
1946M06,491
1946M07,891
1946M08,876
1946M09,678
1946M10,640
1946M11,717
1946M12,684
1947M01,1092
1947M02,866
1947M03,917
1947M04,933
1947M05,1038
1947M06,676
1947M07,626
1947M08,723
1947M09,835
1947M10,755
1947M11,754
1947M12,962
1948M01,1097
1948M02,1313
1948M03,1182
1948M04,1257
1948M05,979
1948M06,927
1948M07,624
1948M08,791
1948M09,558
1948M10,753
1948M11,617
1948M12,933
1949M01,993
1949M02,1415
1949M03,1673
1949M04,1360
1949M05,1350
1949M06,1144
1949M07,982
1949M08,662
1949M09,974
1949M10,821
1949M11,1205
1949M12,1037
1950M01,1500
1950M02,2432
1950M03,2539
1950M04,1762
1950M05,1536
1950M06,1102
1950M07,1026
1950M08,1228
1950M09,716
1950M10,1048
1950M11,1328
1950M12,1516
1951M01,2122
1951M02,2064
1951M03,2515
1951M04,1591
1951M05,1517
1951M06,914
1951M07,1182
1951M08,1029
1951M09,971
1951M10,944
1951M11,1714
1951M12,1337
1952M01,2390
1952M02,2373
1952M03,2482
1952M04,1795
1952M05,1816
1952M06,1258
1952M07,1160
1952M08,972
1952M09,954
1952M10,1351
1952M11,1397
1952M12,1497
1953M01,2358
1953M02,2361
1953M03,2703
1953M04,2097
1953M05,1729
1953M06,1123
1953M07,1233
1953M08,1226
1953M09,1098
1953M10,1563
1953M11,1499
1953M12,1805
1954M01,2502
1954M02,2362
1954M03,2842
1954M04,2188
1954M05,2236
1954M06,1340
1954M07,1237
1954M08,1064
1954M09,1384
1954M10,1283
1954M11,1693
1954M12,1777
1955M01,2908
1955M02,3035
1955M03,3458
1955M04,2346
1955M05,2073
1955M06,1653
1955M07,1199
1955M08,1272
1955M09,1369
1955M10,1711
1955M11,1807
1955M12,2208
1956M01,3221
1956M02,3384
1956M03,3414
1956M04,2864
1956M05,2155
1956M06,1579
1956M07,1301
1956M08,1531
1956M09,1463
1956M10,1970
1956M11,2287
1956M12,3223
1957M01,3448
1957M02,3419
1957M03,3941
1957M04,3115
1957M05,2462
1957M06,1590
1957M07,1570
1957M08,1626
1957M09,1558
1957M10,2114
1957M11,2389
1957M12,2815
1958M01,4408
1958M02,3526
1958M03,4467
1958M04,3738
1958M05,2895
1958M06,1673
1958M07,1478
1958M08,1723
1958M09,1606
1958M10,2285
1958M11,2848
1958M12,2448
1959M01,5073
1959M02,4075
1959M03,4155
1959M04,3577
1959M05,2670
1959M06,1923
1959M07,1604
1959M08,1794
1959M09,2188
1959M10,2853
1959M11,3270
1959M12,3026
1960M01,5149
1960M02,5071
1960M03,4952
1960M04,4084
1960M05,2939
1960M06,2057
1960M07,1939
1960M08,1925
1960M09,2063
1960M10,3169
1960M11,3354
1960M12,3507
1961M01,5977
1961M02,5647
1961M03,5905
1961M04,4353
1961M05,3175
1961M06,2474
1961M07,2387
1961M08,2510
1961M09,2955
1961M10,4416
1961M11,5059
1961M12,4741
1962M01,7336
1962M02,6745
1962M03,7201
1962M04,4881
1962M05,4296
1962M06,3141
1962M07,2882
1962M08,3119
1962M09,3221
1962M10,5253
1962M11,6106
1962M12,5449
1963M01,8664
1963M02,7027
1963M03,8115
1963M04,5530
1963M05,4593
1963M06,3471
1963M07,3043
1963M08,3668
1963M09,4354
1963M10,5933
1963M11,6995
1963M12,5902
1964M01,10355
1964M02,9373
1964M03,8878
1964M04,6737
1964M05,5900
1964M06,3982
1964M07,3757
1964M08,3731
1964M09,5074
1964M10,6711
1964M11,7695
1964M12,7149
1965M01,12624
1965M02,11142
1965M03,11103
1965M04,8370
1965M05,7009
1965M06,4692
1965M07,4428
1965M08,4796
1965M09,6477
1965M10,8519
1965M11,8031
1965M12,9801
1966M01,15562
1966M02,11263
1966M03,12236
1966M04,9434
1966M05,8880
1966M06,5807
1966M07,5201
1966M08,6518
1966M09,6851
1966M10,8227
1966M11,9874
1966M12,10469
1967M01,17304
1967M02,12221
1967M03,14167
1967M04,12404
1967M05,9362
1967M06,7886
1967M07,7693
1967M08,8813
1967M09,8995
1967M10,8544
1967M11,10181
1967M12,10860
1968M01,18984
1968M02,15349
1968M03,15834
1968M04,11166
1968M05,9769
1968M06,7048
1968M07,6750
1968M08,8263
1968M09,8509
1968M10,8568
1968M11,11580
1968M12,10480
1969M01,21819
1969M02,14710
1969M03,17301
1969M04,12429
1969M05,10503
1969M06,8137
1969M07,7426
1969M08,10031
1969M09,9550
1969M10,10005
1969M11,13767
1969M12,12284
1970M01,23380
1970M02,17026
1970M03,19023
1970M04,15003
1970M05,11922
1970M06,9052
1970M07,9738
1970M08,12766
1970M09,10957
1970M10,12875
1970M11,16784
1970M12,13682
1971M01,29284
1971M02,22141
1971M03,24335
1971M04,17611
1971M05,20349
1971M06,10590
1971M07,11096
1971M08,13689
1971M09,14037
1971M10,16361
1971M11,19344
1971M12,16307
1972M01,37295
1972M02,24006
1972M03,25321
1972M04,20803
1972M05,18330
1972M06,11605
1972M07,12964
1972M08,15430
1972M09,15218
1972M10,19199
1972M11,21737
1972M12,17266
1973M01,40884
1973M02,28441
1973M03,31555
1973M04,26346
1973M05,23352
1973M06,14815
1973M07,16341
1973M08,19197
1973M09,20194
1973M10,19700
1973M11,25647
1973M12,22727
1974M01,50283
1974M02,38920
1974M03,36758
1974M04,29410
1974M05,29973
1974M06,17135
1974M07,16283
1974M08,20642
1974M09,22898
1974M10,24315
1974M11,29028
1974M12,25369
1975M01,60402
1975M02,39607
1975M03,41107
1975M04,35718
1975M05,31970
1975M06,16846
1975M07,17152
1975M08,22006
1975M09,24780
1975M10,25868
1975M11,31840
1975M12,27052
1976M01,71018
1976M02,42796
1976M03,42608
1976M04,33548
1976M05,32860
1976M06,15240
1976M07,16080
1976M08,22524
1976M09,24120
1976M10,26884
1976M11,31312
1976M12,27348
1977M01,71088
1977M02,39596
1977M03,41804
1977M04,35200
1977M05,28272
1977M06,18188
1977M07,19136
1977M08,24400
1977M09,25076
1977M10,26248
1977M11,32556
1977M12,28432
1978M01,68776
1978M02,41440
1978M03,42248
1978M04,35492
1978M05,29256
1978M06,16760
1978M07,18000
1978M08,22912
1978M09,27080
1978M10,28104
1978M11,34800
1978M12,32256
1979M01,72036
1979M02,42408
1979M03,48544
1979M04,36288
1979M05,32016
1979M06,18316
1979M07,20012
1979M08,26244
1979M09,28524
1979M10,29976
1979M11,36589
1979M12,32575
1980M01,75830
1980M02,52234
1980M03,55820
1980M04,41984
1980M05,34547
1980M06,21751
1980M07,24370
1980M08,30580
1980M09,29259
1980M10,31837
1980M11,40673
1980M12,32011
1981M01,75880
1981M02,44918
1981M03,57736
1981M04,45068
1981M05,35779
1981M06,22417
1981M07,25597
1981M08,30730
1981M09,32202
1981M10,35568
1981M11,39292
1981M12,33512
1982M01,74754
1982M02,48678
1982M03,51201
1982M04,44053
1982M05,38103
1982M06,23130
1982M07,28768
1982M08,32425
1982M09,32437
1982M10,34152
1982M11,38397
1982M12,34254
1983M01,74273
1983M02,49273
1983M03,54889
1983M04,44865
1983M05,36060
1983M06,24523
1983M07,32576
1983M08,35188
1983M09,35796
1983M10,38156
1983M11,40836
1983M12,39164
1984M01,76881
1984M02,53181
1984M03,59276
1984M04,51136
1984M05,44984
1984M06,28640
1984M07,32781
1984M08,38361
1984M09,39390
1984M10,41556
1984M11,50090
1984M12,46818
1985M01,84482
1985M02,59902
1985M03,72212
1985M04,60821
1985M05,52039
1985M06,34442
1985M07,39682
1985M08,45240
1985M09,44596
1985M10,47664
1985M11,61952
1985M12,55348
1986M01,95358
1986M02,67672
1986M03,78098
1986M04,67592
1986M05,49832
1986M06,36706
1986M07,39799
1986M08,47436
1986M09,45345
1986M10,54201
1986M11,69830
1986M12,64806
1987M01,102384
1987M02,81330
1987M03,84504
1987M04,70332
1987M05,58224
1987M06,44499
1987M07,48744
1987M08,57328
1987M09,49248
1987M10,73648
1987M11,81130
1987M12,73095
1988M01,107624
1988M02,85653
1988M03,84690
1988M04,74496
1988M05,57384
1988M06,47432
1988M07,57249
1988M08,62820
1988M09,55920
1988M10,74954
1988M11,74008
1988M12,70697
1989M01,110187
1989M02,86949
1989M03,89640
1989M04,79776
1989M05,56727
1989M06,48276
1989M07,61660
1989M08,69663
1989M09,63954
1989M10,73359
1989M11,77390
1989M12,78298
1990M01,121788
1990M02,99830
1990M03,101990
1990M04,92007
1990M05,67689
1990M06,53127
1990M07,65296
1990M08,76065
1990M09,64420
1990M10,76010
1990M11,84084
1990M12,81936
1991M01,120888
1991M02,91360
1991M03,101160
1991M04,80168
1991M05,64070
1991M06,54920
1991M07,65550
1991M08,75306
1991M09,64174
1991M10,78540
1991M11,87725
1991M12,83088
1992M01,122356
1992M02,108020
1992M03,117216
1992M04,93290
1992M05,74370
1992M06,55540
1992M07,72490
1992M08,77352
1992M09,62748
1992M10,79211
1992M11,91968
1992M12,90564
1993M01,143136
1993M02,115392
1993M03,123696
1993M04,106271
1993M05,77781
1993M06,57519
1993M07,73755
1993M08,81664
1993M09,68184
1993M10,93672
1993M11,103662
1993M12,103152
1994M01,153090
1994M02,131616
1994M03,145093
1994M04,120240
1994M05,86544
1994M06,63800
1994M07,83039
1994M08,97617
1994M09,80067
1994M10,106904
1994M11,121716
1994M12,114510
1995M01,164608
1995M02,142050
1995M03,154080
1995M04,124735
1995M05,96184
1995M06,66990
1995M07,94133
1995M08,102732
1995M09,80985
1995M10,110985
1995M11,122400
1995M12,126304
1996M01,181356
1996M02,152496
1996M03,159904
1996M04,137415
1996M05,102704
1996M06,78728
1996M07,99808
1996M08,110432
1996M09,90752
1996M10,112438
1996M11,130084
1996M12,143316
1997M01,194845
1997M02,161024
1997M03,165869
1997M04,139094
1997M05,101360
1997M06,77756
1997M07,96764
1997M08,109280
1997M09,84089
1997M10,111345
1997M11,126190
1997M12,125972
1998M01,179633
1998M02,161809
1998M03,160748
1998M04,131208
1998M05,97710
1998M06,76701
1998M07,97875
1998M08,106559
1998M09,87950
1998M10,119178
1998M11,133195
1998M12,136630
1999M01,197047
1999M02,164870
1999M03,168991
1999M04,143760
1999M05,106515
1999M06,82313
1999M07,103955
1999M08,115152
1999M09,98710
1999M10,125950
1999M11,149015
1999M12,144039
2000M01,213830
2000M02,184912
2000M03,189709
2000M04,160010
2000M05,122321
2000M06,90511
2000M07,119944
2000M08,129959
2000M09,109121
2000M10,128984
2000M11,162236
2000M12,167522
2001M01,245543
2001M02,194164
2001M03,209243
2001M04,174468
2001M05,129170
2001M06,102766
2001M07,134092
2001M08,147181
2001M09,118520
2001M10,136094
2001M11,144611
2001M12,165847
2002M01,246168
2002M02,205239
2002M03,214989
2002M04,186236
2002M05,134008
2002M06,108027
2002M07,140835
2002M08,148418
2002M09,116252
2002M10,153832
2002M11,181979
2002M12,188539
2003M01,267933
2003M02,213089
2003M03,237991
2003M04,174931
2003M05,124890
2003M06,103752
2003M07,140415
2003M08,151243
2003M09,129901
2003M10,157456
2003M11,190329
2003M12,210864
2004M01,304085
2004M02,236939
2004M03,250432
2004M04,216622
2004M05,157535
2004M06,127135
2004M07,166282
2004M08,172648
2004M09,140082
2004M10,176628
2004M11,200270
2004M12,211029
2005M01,320975
2005M02,246976
2005M03,261097
2005M04,218446
2005M05,156472
2005M06,133318
2005M07,179029
2005M08,165685
2005M09,147703
2005M10,166780
2005M11,195955
2005M12,209816
2006M01,308967
2006M02,245513
2006M03,268975
2006M04,224072
2006M05,159783
2006M06,130006
2006M07,160685
2006M08,170362
2006M09,146239
2006M10,178592
2006M11,205768
2006M12,219986
2007M01,314160
2007M02,251465
2007M03,280660
2007M04,229367
2007M05,163139
2007M06,132246
2007M07,170753
2007M08,178788
2007M09,152443
2007M10,175716
2007M11,204610
2007M12,213503
2008M01,321096
2008M02,261099
2008M03,289882
2008M04,221359
2008M05,160012
2008M06,136128
2008M07,167148
2008M08,178748
2008M09,139623
2008M10,167132
2008M11,199499
2008M12,214008
2009M01,317491
2009M02,244074
2009M03,271397
2009M04,224810
2009M05,165006
2009M06,130848
2009M07,169281
2009M08,177050
2009M09,155152
2009M10,177310
2009M11,198512
2009M12,222549
2010M01,343330
2010M02,260096
2010M03,274596
2010M04,231443
2010M05,170603
2010M06,133652
2010M07,178963
2010M08,186408
2010M09,153187
2010M10,180547
2010M11,205821
2010M12,221729
2011M01,352027
2011M02,263970
2011M03,266269
2011M04,218384
2011M05,174076
2011M06,126431
2011M07,173471
2011M08,181404
2011M09,178348
2011M10,238243
2011M11,210567
2011M12,232670
2012M01,364362
2012M02,261230
2012M03,269751
2012M04,236509
2012M05,163556
