Month,beerproductionusa
1970M01,13.092
1970M02,11.978
1970M03,11.609
1970M04,10.812
1970M05,8.536
1970M06,9.617
1970M07,9.561
1970M08,9.31
1970M09,11.835
1970M10,12.448
1970M11,12.447
1970M12,13.403
1971M01,12.38
1971M02,11.33
1971M03,11.01
1971M04,10.275
1971M05,9.303
1971M06,9.815
1971M07,9.618
1971M08,9.411
1971M09,12.526
1971M10,12.329
1971M11,12.367
1971M12,13.722
1972M01,13.283
1972M02,12.276
1972M03,11.413
1972M04,10.531
1972M05,9.864
1972M06,10.105
1972M07,9.958
1972M08,10.38
1972M09,12.619
1972M10,12.527
1972M11,13.249
1972M12,14.206
1973M01,13.176
1973M02,13.059
1973M03,11.406
1973M04,11.235
1973M05,9.924
1973M06,9.591
1973M07,10.984
1973M08,10.724
1973M09,13.138
1973M10,12.858
1973M11,13.825
1973M12,13.087
1974M01,13.762
1974M02,14.17
1974M03,12.121
1974M04,12.381
1974M05,10.896
1974M06,10.649
1974M07,12.191
1974M08,10.984
1974M09,13.049
1974M10,13.089
1974M11,14.713
1974M12,15.043
1975M01,15.746
1975M02,14.61
1975M03,12.667
1975M04,12.277
1975M05,10.711
1975M06,11.113
1975M07,12.548
1975M08,11.18
1975M09,12.412
1975M10,14.496
1975M11,14.343
1975M12,15.761
1976M01,16.075
1976M02,14.718
1976M03,13.345
1976M04,12.35
1976M05,11.216
1976M06,12.15
1976M07,12.44
1976M08,11.89
1976M09,11.855
1976M10,13.687
1976M11,15.175
1976M12,15.758
1977M01,16.538
1977M02,16.096
1977M03,14.312
1977M04,13.422
1977M05,11.287
1977M06,11.19
1977M07,11.978
1977M08,11.482
1977M09,16.199
1977M10,16.027
1977M11,16.787
1977M12,16.904
