Month,Australia,ChinaPRof,Japan,Korea,Germany,UK,Canada,USA,Total
1998M09,17244,748,6093,979,1320,5794,973,3837,57930
1998M10,18090,941,5039,1083,2459,7876,1418,6093,68203
1998M11,16750,1054,6112,1144,5195,13362,2236,8468,84370
1998M12,25909,1270,6670,1836,5499,20238,2935,7865,113853
1999M01,27228,1375,6008,2716,6430,22557,3623,10007,122130
1999M02,19461,1660,7478,2245,7320,27477,4394,12533,124305
1999M03,19200,1456,7341,1611,6094,20187,3573,10519,104106
1999M04,19595,1488,5030,1416,3157,13448,1795,6737,83414
1999M05,12564,1449,4275,1192,1450,8587,1160,4932,59800
1999M06,10987,1413,3758,1255,765,7271,903,4845,52426
1999M07,14797,1510,5755,1787,1068,8098,1273,5578,64539
1999M08,14519,1575,8693,2006,1172,8243,1199,4281,65227
1999M09,18084,1570,6091,1498,1270,7338,1157,4567,64295
1999M10,17229,1741,5119,1801,2562,10275,1596,7297,74554
1999M11,17185,1985,6743,2193,5887,16124,2932,10100,97217
1999M12,29083,2333,6805,3019,6573,20945,3724,11325,126109
2000M01,32261,2124,6108,5213,7585,22626,4077,13770,136167
2000M02,22110,2658,7778,4022,8514,30591,4550,15021,139231
2000M03,21207,2329,7345,2987,7172,23207,3839,12394,116593
2000M04,22816,2563,5010,2567,3873,16548,2344,8032,95288
2000M05,13260,2709,4477,2155,1894,10034,1540,5946,67900
2000M06,11684,2344,3762,2049,1202,8324,1164,5525,58918
2000M07,15983,2655,6220,3474,1439,9039,1255,7388,74902
2000M08,14995,2922,9707,3519,1614,9311,1218,5424,75263
2000M09,20482,2607,6558,2202,1745,7267,944,4183,69939
2000M10,18278,3075,5494,2360,3182,10195,1479,6697,79850
2000M11,19216,3303,7665,3092,7182,16700,2787,9281,106854
2000M12,30673,3498,7204,4055,6924,25616,3686,10910,142512
2001M01,34312,3698,7194,6711,8002,29651,4421,11314,157145
2001M02,23688,4003,8889,5508,9027,34187,5269,14263,152509
2001M03,24244,3636,8495,4186,7797,24853,4520,12119,131338
2001M04,23411,3671,5866,4126,3924,16915,2536,7824,106300
2001M05,15537,3559,5458,3752,1992,10417,1574,5539,78232
2001M06,14731,3358,4539,3561,1203,8744,1290,5857,70443
2001M07,19502,4298,6117,5806,1482,9671,1384,7275,88007
2001M08,17893,4718,9982,5863,1731,10637,1405,6098,90114
2001M09,21035,4612,7010,4404,2072,8489,1102,5153,83352
2001M10,21364,5203,5508,4533,3500,11093,1688,7101,94188
2001M11,19117,5686,6303,5011,7122,17332,2816,9503,112844
2001M12,30184,6133,6831,6506,7004,26492,3789,10971,150571
2002M01,34693,5890,6693,10105,7291,32324,4867,13721,167950
2002M02,23864,7736,8493,8085,8622,38572,5704,15397,168080
2002M03,25614,7184,8724,6072,7714,31620,4648,13599,151318
2002M04,22967,7658,6323,5927,4389,20217,2598,8688,120003
2002M05,15876,7824,5725,4865,2319,12923,1702,5986,91278
2002M06,14643,7716,4372,4432,1490,11210,1165,6622,81478
2002M07,20643,8673,6923,6482,1748,12072,1443,7337,100170
2002M08,17266,8887,10096,7218,1818,12070,1420,6263,98417
2002M09,20382,8583,6916,5436,2250,10301,1300,5507,91976
2002M10,20872,8854,6739,6100,3539,13463,2029,7676,105233
2002M11,19982,8894,8092,6553,7280,20048,3371,11022,129342
2002M12,33851,9036,8419,7133,7721,29738,4300,12915,170070
2003M01,37393,8821,7845,11193,8337,35447,5236,15105,186824
2003M02,26940,10409,9354,9216,9609,42095,6195,17462,187082
2003M03,26607,9161,9568,6208,8623,32805,5565,15853,162886
2003M04,26960,8049,6422,4831,4667,23706,2957,9814,127647
2003M05,17241,7212,5202,4293,3037,15109,1955,6785,91881
2003M06,15457,6683,4490,4281,1960,12470,1526,7177,82633
2003M07,21586,6916,6640,6445,2251,13663,1673,8193,100952
2003M08,18061,6367,9284,6485,2887,14548,1453,6707,97958
2003M09,23311,5761,7447,4753,2937,11916,1443,5865,93133
2003M10,22890,5790,6471,4706,4107,14965,1997,8442,103872
2003M11,22447,5745,7908,5347,7630,21626,3307,12224,129669
2003M12,38900,6101,8261,6137,8319,34045,4253,13075,177242
2004M01,44220,5872,7448,9975,9213,39638,5052,14267,193296
2004M02,31328,5649,8917,7784,10567,46140,6242,16289,184994
2004M03,30589,5070,9258,4796,9416,34924,5569,16259,161558
2004M04,32308,4916,6241,3655,5349,25436,3353,11129,132312
2004M05,19846,4606,5818,3393,2994,15618,2098,7451,93840
2004M06,18048,4032,4625,3329,2186,13050,1597,7966,84275
2004M07,24947,4926,5966,5174,2430,14196,1829,8684,101233
2004M08,21124,4779,8713,5150,2801,14625,1633,6995,96128
2004M09,27120,4082,6289,3744,3180,11719,1454,6161,90803
2004M10,24807,4288,5570,3888,4676,15108,1884,8454,100875
2004M11,22556,4834,7458,4437,8147,22665,2806,11902,125737
2004M12,41475,5178,7032,5082,8069,33826,3900,12853,171295
2005M01,47896,4600,6839,8039,9484,39908,4936,13370,191854
2005M02,30735,5801,8310,7011,10683,47565,6506,16262,186737
2005M03,32720,4341,8098,4389,9727,37183,5683,16258,165517
2005M04,28763,4452,5502,3820,5328,23989,3181,11020,124496
2005M05,19789,4168,4806,3354,3636,15028,2247,8593,92337
2005M06,18911,3731,4062,3124,2628,17832,1813,8799,89795
2005M07,22708,4238,5146,4317,3004,19787,2098,8469,102304
2005M08,20774,4510,7261,4739,3275,14933,1937,7268,94922
2005M09,28294,3961,5662,3580,3351,11533,1592,6244,92049
2005M10,24953,4184,5056,4167,4622,14923,2209,8126,101625
2005M11,23416,4523,6412,4409,7989,22959,3432,11785,127224
2005M12,41178,5168,6181,5209,9009,33580,4458,12677,172001
2006M01,47382,5051,6180,7591,10467,39849,5278,14240,194040
2006M02,32100,5498,8156,6696,11691,50406,6394,17576,194355
2006M03,31889,4705,7975,4968,10414,37373,5421,15973,167363
2006M04,32407,4897,4952,4405,6302,27351,3241,11141,136323
2006M05,20856,4553,4439,3913,3896,16201,2102,7550,97705
2006M06,18940,3812,3986,3530,3053,12761,1886,8142,87210
2006M07,24574,4551,5209,5265,3277,13627,2165,8727,103377
2006M08,22771,4586,7353,5537,3353,14271,1969,7061,101008
2006M09,27567,3929,5317,4296,3683,11295,1940,6409,95704
2006M10,28597,4086,4518,4696,5297,14573,2499,8523,108268
2006M11,26032,4988,6076,4651,9026,23166,3856,12152,134345
2006M12,43700,5320,5345,5568,9378,34409,4467,13589,180312
2007M01,47711,4808,5139,7961,10931,41071,5682,14876,200548
2007M02,33144,6366,6471,7032,12601,51655,7232,18067,202852
2007M03,32240,4918,7128,5275,11212,38885,6272,16550,176382
2007M04,31548,4983,4104,4690,7183,25505,3606,11881,141115
2007M05,20797,4517,3571,3957,5029,14538,2405,8175,102203
2007M06,19295,3917,3398,3934,3805,11332,1938,8026,90172
2007M07,27078,4430,4358,5801,3853,12146,2112,8214,107547
2007M08,24142,5173,6373,6162,4008,12849,1868,6570,104000
2007M09,27985,4419,4691,4644,4256,10000,1417,5984,96336
2007M10,27707,4530,3976,4276,5731,14020,1890,8351,106858
2007M11,26069,5008,5514,4334,9104,21679,3078,11553,130753
2007M12,45046,5676,4930,4522,9817,31752,4283,12340,178121
2008M01,51000,5020,4659,6496,11048,39259,5573,14954,201484
2008M02,34953,6563,6289,5890,12359,50961,7032,17930,202965
2008M03,37767,5090,7200,4725,11808,41068,5700,16641,187101
2008M04,31284,4873,4170,4758,7381,25387,3027,12147,143772
2008M05,21852,4377,3636,4490,5054,15026,2236,8649,109110
2008M06,20149,3710,3282,4179,3913,12273,1703,8111,97351
2008M07,27052,4485,4121,5533,4203,12563,1991,8235,112368
2008M08,25021,4747,5990,6088,3940,13101,1938,6631,107804
2008M09,28455,3922,4258,4476,4166,9749,1903,6038,100528
2008M10,27003,4319,3745,4290,5692,13222,2479,7591,108062
2008M11,27016,4948,4251,4124,8984,20171,3747,10527,131846
2008M12,47325,5741,4447,4308,10494,30395,4424,11292,182795
2009M01,50701,6201,4121,5496,11197,36604,5647,12293,200077
2009M02,34098,6433,5530,5296,12169,44999,6891,14727,194514
2009M03,32725,5784,6138,4015,11017,32932,5788,14030,170648
2009M04,32983,5407,3409,3874,7567,21933,3416,10480,141757
2009M05,22484,4720,2565,3251,5004,12852,2294,7144,103533
2009M06,20837,4101,2067,2932,3917,10372,1610,7014,89760
2009M07,30154,4828,2635,3851,4229,10742,1842,7278,105945
