DATE,Arrivals,Departures
2000M01,284361,288701
2000M02,273092,252533
2000M03,234368,286140
2000M04,263813,290177
2000M05,202172,235108
2000M06,200423,222173
2000M07,281012,250872
2000M08,234306,245299
2000M09,232494,242026
2000M10,296586,244084
2000M11,295022,280281
2000M12,323961,299410
2001M01,336818,326549
2001M02,287719,271105
2001M03,264181,306983
2001M04,271410,295370
2001M05,214684,246359
2001M06,224260,243564
2001M07,295746,260486
2001M08,257382,269931
2001M09,270109,259422
2001M10,288592,240720
2001M11,264907,250581
2001M12,317906,289293
2002M01,345696,319184
2002M02,295485,272623
2002M03,290378,321625
2002M04,257058,287014
2002M05,217025,248564
2002M06,229586,248826
2002M07,300011,262761
2002M08,264913,272942
2002M09,272110,256221
2002M10,316282,270894
2002M11,309391,298255
2002M12,346434,317301
2003M01,367417,342068
2003M02,315934,281860
2003M03,285337,330834
2003M04,260652,284581
2003M05,202090,237857
2003M06,223257,229804
2003M07,299409,283749
2003M08,268521,281054
2003M09,297814,283115
2003M10,328393,287133
2003M11,339175,327867
2003M12,392790,365034
2004M01,412175,390988
2004M02,355943,327256
2004M03,322535,369910
2004M04,325669,366010
2004M05,265625,299706
2004M06,276653,301371
2004M07,377371,355348
2004M08,327786,340052
2004M09,344814,330947
2004M10,375855,331057
2004M11,361237,353804
2004M12,421215,391819
2005M01,446255,426345
2005M02,374646,346862
2005M03,363880,403078
2005M04,325378,384438
2005M05,286921,309324
2005M06,309237,311589
2005M07,385556,391089
2005M08,337439,342704
2005M09,337712,348303
2005M10,401739,332768
2005M11,354356,344776
2005M12,418553,404769
2006M01,451183,423936
2006M02,390180,342423
2006M03,343830,398579
2006M04,349631,392759
2006M05,280173,313777
2006M06,290726,323269
2006M07,387680,353480
2006M08,326903,339379
2006M09,351239,352947
2006M10,402305,335634
2006M11,378154,357741
2006M12,429581,416931
2007M01,450289,431089
2007M02,399183,354218
2007M03,367374,420233
2007M04,355376,399690
2007M05,298372,341104
2007M06,313275,346909
2007M07,402580,363157
2007M08,346960,362613
2007M09,363112,366147
2007M10,408908,348879
2007M11,388904,369351
2007M12,437456,420756
2008M01,463169,440778
2008M02,424214,376366
2008M03,390569,432047
2008M04,318112,392795
2008M05,314016,341201
2008M06,317830,329111
2008M07,392112,376611
2008M08,353851,361907
2008M09,339309,337366
2008M10,398403,348827
2008M11,378382,360736
2008M12,440797,408764
2009M01,445596,431076
2009M02,388845,346929
2009M03,356051,404422
2009M04,351099,392743
2009M05,292747,333750
2009M06,298267,312177
2009M07,390574,373080
2009M08,352851,358221
2009M09,354626,352454
2009M10,410123,357608
2009M11,381710,361330
2009M12,457950,413163
2010M01,458584,456852
2010M02,400061,370086
2010M03,377540,423769
2010M04,351083,400291
2010M05,298383,342275
2010M06,315185,338421
2010M07,410277,393254
2010M08,366169,372345
2010M09,365821,368116
2010M10,424269,366551
2010M11,388676,372115
2010M12,474265,434611
2011M01,482228,478188
2011M02,407051,374251
2011M03,353730,417753
2011M04,360865,408291
2011M05,325144,363409
2011M06,305399,325773
2011M07,411612,412999
2011M08,397013,379261
2011M09,403021,351847
2011M10,427738,432075
2011M11,403871,391204
2011M12,498491,459506
2012M01,499839,502589
2012M02,413759,385671
2012M03,384067,430870
2012M04,379481,427126
2012M05,304525,349999
2012M06,330598,366318
2012M07,428034,393021
2012M08,375075,388393
2012M09,383868,371123
2012M10,429723,383647
