DATE,TotalBeer,TotalSpirits,TotalWine
2000Q1,2.957,1.097,1.486
2000Q2,2.823,1.309,1.915
2000Q3,2.798,1.496,1.844
2000Q4,3.997,1.81,2.808
2001Q1,3.037,1.24,1.287
2001Q2,2.778,1.516,1.861
2001Q3,2.857,1.272,2.034
2001Q4,3.967,1.751,2.739
2002Q1,3.094,1.276,1.656
2002Q2,2.819,1.378,1.918
2002Q3,3.052,1.512,2.265
2002Q4,4.088,2.055,2.902
2003Q1,3.044,1.257,1.691
2003Q2,2.849,1.494,2.033
2003Q3,3.137,1.386,2.141
2003Q4,4.04,1.974,2.932
2004Q1,3.337,1.529,1.847
2004Q2,2.726,1.444,2.157
2004Q3,3.135,1.746,2.318
2004Q4,3.904,2.13,2.974
2005Q1,3.222,1.464,1.977
2005Q2,3.058,1.771,2.328
2005Q3,2.992,1.522,2.479
2005Q4,4.025,2.31,3.099
2006Q1,3.027,1.443,2.141
2006Q2,2.796,1.865,2.299
2006Q3,2.921,1.861,2.606
2006Q4,4.256,2.272,3.33
2007Q1,3.169,1.434,2.29
2007Q2,2.87,1.852,2.499
2007Q3,2.864,1.722,2.524
2007Q4,4.267,2.337,2.887
2008Q1,3.399,1.722,2.007
2008Q2,3.296,2.222,2.33
2008Q3,2.78,1.671,2.384
2008Q4,4.166,2.421,3.696
2009Q1,3.162,1.547,2.157
2009Q2,2.94,1.864,2.529
2009Q3,2.846,1.671,2.395
2009Q4,4.024,3.101,3.447
2010Q1,3.301,1.97,2.499
2010Q2,2.826,2.062,2.499
2010Q3,2.712,2.243,2.504
2010Q4,3.934,3.054,3.834
2011Q1,3.192,2.003,2.246
2011Q2,2.975,2.645,2.538
2011Q3,2.865,2.482,2.704
2011Q4,3.789,2.566,3.321
2012Q1,2.728,2.061,2.433
2012Q2,2.84,2.715,2.673
2012Q3,2.633,2.252,2.647
