 DATE,MaoriMale,TotalMale,MaoriFemale,TotalFemale
2000Q1,2144,7639,2025,7139
2000Q2,2087,7365,1907,6866
2000Q3,2064,7174,1929,6843
2000Q4,1908,6979,1787,6600
2001Q1,2130,7496,2058,7232
2001Q2,2034,7101,1950,6796
2001Q3,1996,6873,1912,6783
2001Q4,1908,6863,1851,6655
2002Q1,1907,6891,1853,6757
2002Q2,1875,6713,1776,6438
2002Q3,2007,7061,1801,6634
2002Q4,1818,6912,1834,6615
2003Q1,2038,7425,1937,6859
2003Q2,1926,6881,1743,6555
2003Q3,2067,7125,1945,6842
2003Q4,2033,7389,1968,7058
2004Q1,2074,7650,2000,7370
2004Q2,2094,7383,1907,7053
2004Q3,2185,7505,2027,6972
2004Q4,2013,7206,1959,6934
2005Q1,2189,7499,2056,7063
2005Q2,2117,7509,2122,7298
2005Q3,2037,7281,1955,6825
2005Q4,1996,7257,1965,7013
2006Q1,2255,7800,2153,7458
2006Q2,2199,7492,2148,7124
2006Q3,2247,7631,2161,7340
2006Q4,2149,7317,2030,7031
2007Q1,2528,8602,2300,7934
2007Q2,2322,8093,2213,7664
2007Q3,2386,8068,2241,7653
2007Q4,2467,8250,2260,7780
2008Q1,2344,7948,2113,7796
2008Q2,2535,8597,2385,8053
2008Q3,2496,8262,2406,7854
2008Q4,2426,8295,2139,7538
2009Q1,2392,8092,2160,7468
2009Q2,2321,8019,2144,7436
2009Q3,2399,8264,2321,8047
2009Q4,2189,7737,2101,7480
2010Q1,2509,8756,2391,8212
2010Q2,2362,8107,2156,7518
2010Q3,2383,8084,2232,7838
2010Q4,2325,7957,2100,7425
2011Q1,2384,8370,2278,7884
2011Q2,2264,7676,2155,7425
2011Q3,2249,7961,2152,7563
2011Q4,2113,7469,2013,7055
2012Q1,2282,8027,2143,7684
2012Q2,2229,7804,2203,7468
2012Q3,2277,7639,2094,7316
