DATE,Auckland,Christchurch,Dunedin,Hamilton,Wellington
2000M01,115.4,47.2,174.8,96.2,91.8
2000M02,8.4,25.2,41,8.2,35.2
2000M03,57.2,60.8,74.2,33.8,53.4
2000M04,106.8,58.2,50,129.6,109.8
2000M05,128.2,62,-,98.2,78.2
2000M06,146.2,38,68.4,100.2,98.6
2000M07,148.8,18,22.6,98.6,32.2
2000M08,84.6,108.4,155.8,102.6,64
2000M09,66,83.4,68.6,113.2,76.2
2000M10,51.6,78,63.6,96.2,59.6
2000M11,72.6,75.6,95.4,94.2,40.2
2000M12,60.2,31.2,73.8,131.2,45
2001M01,56.6,38,52.4,50.4,6.8
2001M02,110.4,5,31.8,181.6,19
2001M03,19.6,11.2,2.2,78.6,15
2001M04,98.2,6.8,20.6,67,11.2
2001M05,209.8,44,72.8,139.6,57.2
2001M06,77,37.2,47.6,-,70.8
2001M07,95.2,80.2,63.8,108.8,88.6
2001M08,125.8,26.2,40,81.6,59
2001M09,56.6,7.6,19.6,39.6,7.6
2001M10,106.6,78,61.4,96.8,137
2001M11,118.8,74.2,55,127.2,135.6
2001M12,181.4,31,48.2,198.8,133.8
2002M01,92,137.6,118.6,105.2,97
2002M02,31.2,54.2,50.4,27.8,101.4
2002M03,122.6,32.2,34.4,109.8,46.4
2002M04,58.6,87.2,70.2,58.2,35.2
2002M05,95.8,29.6,54.6,92,47.4
2002M06,126.4,87,75.8,135.4,141
2002M07,143.2,20,27.8,136.2,115.8
2002M08,90.6,25,64.2,88.4,85.8
2002M09,76.2,32.6,60,87,102.6
2002M10,86.8,36,42.9,74.8,22.2
2002M11,43.6,87.8,48.9,93.6,93.6
2002M12,87.4,31.4,23.6,120.4,84.6
2003M01,108.6,43.2,71,125.8,40.8
2003M02,54.4,11.6,52.6,42.4,30.8
2003M03,144.4,46.4,25,108,26.4
2003M04,55.2,48.2,21.8,30.7,37.6
2003M05,86,35.8,29,57.6,62.4
2003M06,101.8,19.4,44.6,-,132.2
2003M07,99,41.8,26.6,69.2,49
2003M08,52.4,30.4,34.6,34.8,125.2
2003M09,167,85.8,60.2,177.9,172.6
2003M10,106.4,48.4,61.2,74.6,139.4
2003M11,73.8,25.6,56.4,185.4,70
2003M12,85,1,50.2,157.8,44
2004M01,70.4,29.8,39.8,96.6,124.6
2004M02,271.6,89,75.4,332.2,294.1
2004M03,8.8,37,46.2,20.4,39
2004M04,39.4,42.6,49.2,44.4,81.8
2004M05,216.8,50.8,101.2,130.4,83.6
2004M06,111.6,5.6,41.8,148.8,59.8
2004M07,77.4,50.6,11,107,121
2004M08,73,130.4,120,150.1,114.6
2004M09,76.1,31.4,42.4,96.6,115.4
2004M10,104.2,35.8,43,129.6,64.8
2004M11,41.6,29.2,76.4,70.4,52
2004M12,133.2,110.4,119,162.4,98.4
2005M01,16,17,53.2,45.4,69.2
2005M02,62.8,29,116.8,56.4,29.8
2005M03,39.8,40,84.4,53,155
2005M04,20.8,45,30,29.8,40.8
2005M05,150.2,85.8,47.8,242.6,159.3
2005M06,109.2,17,49.6,86.6,38.4
2005M07,161.8,36.8,24.6,160.4,104.8
2005M08,38.4,13.4,9.6,96.2,35.4
2005M09,91.6,35.6,47.6,139.5,33.6
2005M10,180.4,42.6,23.6,201.9,66.4
2005M11,40.8,31,44.6,74.4,32.8
2005M12,59.6,41.4,115.4,159,60.2
2006M01,79.2,32.8,73.6,127.4,36.6
2006M02,6.8,39.6,31.4,83.2,65.6
2006M03,64,52,67.2,108,90.6
2006M04,158.4,70,111.6,210.6,61.6
2006M05,191.2,98.6,29.8,125,58.8
2006M06,101.2,92.2,38.8,111.6,108.6
2006M07,68.6,52,29.4,103.2,205.6
2006M08,99.2,98.4,37.6,120,149.6
2006M09,44.4,3.8,11.8,27.8,25.1
2006M10,157.8,77,40.4,124.8,144
2006M11,89.3,64.7,71,83.5,131
2006M12,47,115,98.4,60.6,63
2007M01,59.8,22.4,44.2,113.1,75.2
2007M02,37.6,24.8,22.8,40,15.4
2007M03,132.6,27.8,28.4,105.3,28.7
2007M04,59,55.8,36,67.7,66.9
2007M05,12,18.4,8.4,27,63.4
2007M06,81.4,61,73.8,112,73
2007M07,167.8,65.6,121.6,188.8,141.8
2007M08,96.6,45,25.2,161.2,61
2007M09,60.8,36.8,48,53.8,48.5
2007M10,75.8,66.8,90.4,96.2,140.4
2007M11,44.4,31.4,21.6,55.6,16
2007M12,65.2,54,78.2,64.6,59.8
2008M01,15,12.6,44.6,6.8,17.4
2008M02,45.4,121.6,62.4,40,52.2
2008M03,31,20.4,74.6,32.2,99.6
2008M04,102.2,27.9,45,121.8,164.6
2008M05,113.6,49.8,68.4,76.8,55.4
2008M06,158.8,88.6,33.2,168.8,85.2
2008M07,215.2,164.6,143.8,199.6,192.8
2008M08,166.7,98.3,55,167.5,157.8
2008M09,38.6,34.2,60.6,73.8,78.4
2008M10,90.7,30.6,18.8,151.6,55.2
2008M11,46,10.4,34.4,40.4,52.6
2008M12,101.6,44.8,64,120.2,104
2009M01,31.6,25.6,53.6,33.4,14.6
2009M02,121.7,67.8,165,133.8,161.4
2009M03,35,15.2,59.4,27.2,19.8
2009M04,40.9,43.2,38.4,52.7,76.6
2009M05,152.2,144.8,168,90.8,144.6
2009M06,89.2,19.2,16.6,101.1,54.2
2009M07,113.2,36.8,57.8,110.6,52.4
2009M08,71.7,55.6,23.6,108.1,111.4
2009M09,81.2,33.2,46.4,133.6,51.8
2009M10,91,82.6,48.8,162.8,161
2009M11,22.2,25.2,18.8,53.2,55
2009M12,83,39.6,39.6,80.2,38.4
2010M01,44,32.6,69,191.6,72.8
2010M02,4.6,18.2,36.6,24.4,16.8
2010M03,7.6,22.4,22.6,20.2,34.2
2010M04,56,24,50.4,36.6,27.2
2010M05,162.8,163.8,159.8,120.4,171.4
2010M06,160.8,93.1,63.6,222.6,140.3
2010M07,87,67.6,26.6,65.8,92.4
2010M08,187.4,86.4,68.2,196.1,165.8
2010M09,112,42,51,180.8,151.6
2010M10,19.8,22,27.6,41.2,71.8
2010M11,22.3,53,32.8,16,21.4
2010M12,94.4,35.2,119.8,120.2,91
2011M01,184.1,58,65.4,225.4,65.6
2011M02,28.2,35.4,109.4,34.2,18.2
2011M03,139.6,54.2,71.6,193.4,77
2011M04,152.3,50.8,43.6,114.5,118.6
2011M05,150.4,52.6,95,135.6,106.4
2011M06,144.4,41,21.6,165.3,86.8
2011M07,103.8,29.4,20,169.2,71.8
2011M08,43.5,62.6,42,37.4,104.4
2011M09,86.2,21.4,26.2,60.8,55.6
2011M10,115.2,90.8,89.1,149.2,97.8
2011M11,50.2,63.6,67.5,38.4,57.6
2011M12,192.2,60.8,8.8,215.1,121.6
2012M01,56.2,50.6,62.4,104.8,81.4
2012M02,116.8,55,123,118.2,44.8
2012M03,145.2,39.4,65.4,90.4,111
2012M04,23.4,32.8,19.6,39,43.1
2012M05,82,11.2,36.8,107.2,66.6
2012M06,88,111.2,71.2,92,101.4
2012M07,141.2,92.1,47.4,223.8,78.8
2012M08,132.8,93.2,103.2,147,108
2012M09,107.6,32.4,52.6,89.9,46.2
2012M10,69.2,55,56.6,116.8,45.6
