DATE,Business,Conventions.Conferences,Education,Holiday,Other,Friends.Relatives
2000M01,6214,602,3433,60352,10950,54617
2000M02,8169,1284,5375,67851,10495,46058
2000M03,7253,791,6008,55838,9455,37248
2000M04,5591,797,6174,41449,8311,32964
2000M05,5734,714,6171,26373,7608,21301
2000M06,5527,616,6363,20887,6990,18535
2000M07,6122,990,7862,28937,8195,22796
2000M08,6116,910,8036,30832,7749,21621
2000M09,5614,680,7981,27848,7473,20343
2000M10,6322,1036,8541,34019,8045,21888
2000M11,6877,979,8364,54182,8708,27743
2000M12,6150,751,6820,61795,9905,57090
2001M01,5956,740,6388,72337,11530,60193
2001M02,7473,1226,8528,77260,11551,46471
2001M03,7336,1129,9107,64816,10446,38504
2001M04,6340,908,9200,45470,9791,34591
2001M05,6871,738,9129,29457,8691,23347
2001M06,6495,446,9492,23404,8772,21834
2001M07,6268,724,11802,33333,10440,25440
2001M08,6591,1427,11840,35522,10329,24405
2001M09,6599,993,11368,31999,9704,22689
2001M10,6975,1288,12053,38125,10344,25403
2001M11,8134,933,11900,51482,11340,29056
2001M12,7215,937,10675,62305,12433,57006
2002M01,6845,806,10330,74045,13393,62531
2002M02,8528,863,13074,81578,13437,50599
2002M03,8031,1231,13981,71116,13369,43590
2002M04,6979,1020,15093,49141,12714,35056
2002M05,6569,617,14171,33455,11255,25211
2002M06,6594,622,14413,26257,10997,22594
2002M07,6779,889,17099,36336,12511,26555
2002M08,7084,757,17035,37589,11816,24136
2002M09,7419,937,16076,32728,11227,23590
2002M10,8266,814,16455,41395,11251,27051
2002M11,8988,1094,16307,59723,11609,31621
2002M12,7659,644,13738,72385,13030,62614
2003M01,8098,907,13384,84374,14240,65820
2003M02,10110,1342,15976,91627,14162,53866
2003M03,9613,1309,16401,77140,13393,45030
2003M04,8247,925,15163,52047,12134,39132
2003M05,7582,516,14510,32199,10564,26509
2003M06,7210,622,13930,26394,10164,24312
2003M07,6940,983,15656,35978,11374,30021
2003M08,7067,851,15140,36463,10644,27793
2003M09,6916,1392,13937,35143,9622,26124
2003M10,7549,1215,13928,43169,10239,27773
2003M11,8396,1216,13127,61996,11299,33636
2003M12,6544,1048,10198,78728,12531,68194
2004M01,6356,1199,9246,88458,13128,74909
2004M02,8724,1264,12009,91566,13068,58364
2004M03,8199,1584,12362,78134,11801,49479
2004M04,6833,1484,11294,57114,10627,44959
2004M05,7120,929,11122,35601,9627,29440
2004M06,6793,675,11017,29198,9751,26841
2004M07,6932,1011,13100,39312,10462,30416
2004M08,7270,1112,12515,38333,9513,27386
2004M09,7520,1154,11884,36213,8477,25557
2004M10,7770,1789,12330,42548,8467,27971
2004M11,8583,1309,11666,61847,8773,33561
2004M12,7126,1287,8972,72674,10215,71022
2005M01,6665,1735,8511,86397,11772,76772
2005M02,8910,1453,12043,92453,11503,60374
2005M03,8834,1496,12720,78846,11532,52090
2005M04,8127,1378,11667,52644,10437,40242
2005M05,7762,1065,11092,33789,9315,29314
2005M06,7652,648,10898,34245,8779,27573
2005M07,7403,1036,12787,42020,9444,29613
2005M08,7968,944,13235,36190,9155,27429
2005M09,8345,1203,12141,36038,8703,25620
2005M10,8553,1324,12067,41089,9718,28874
2005M11,8880,1496,11603,59415,10681,35149
2005M12,8331,1063,9175,70736,11559,71138
2006M01,8669,832,8914,85473,12848,77304
2006M02,10506,1535,12092,92355,13501,64367
2006M03,10384,1180,13108,76363,13245,53084
2006M04,9228,1367,12045,54450,12155,47078
2006M05,8931,1424,11733,34477,11242,29896
2006M06,8106,784,11936,28796,10842,26745
2006M07,7587,975,14354,37787,11250,31423
2006M08,7943,873,13700,37378,10783,30330
2006M09,7980,1447,12952,35585,10028,27714
2006M10,8437,1506,13025,43773,10172,31354
2006M11,9592,1501,12504,64476,10655,35618
2006M12,8348,1166,10030,74590,11401,74777
2007M01,8649,784,9104,89054,12957,79999
2007M02,10088,1433,12872,98324,12625,67511
2007M03,9908,1710,14482,82974,12799,54509
2007M04,8332,1288,14234,58030,12814,46417
2007M05,8533,1247,13594,36155,11792,30882
2007M06,7894,961,13539,29992,10712,27074
2007M07,7605,1017,15667,40418,11214,31625
2007M08,7787,1326,14940,39198,11504,29244
2007M09,7370,1342,13171,36225,10695,27533
2007M10,7669,960,13254,42745,10805,31425
2007M11,8629,1245,12894,59598,11450,36937
2007M12,7713,783,10365,70943,12275,76042
2008M01,8290,874,9115,88214,14251,80741
2008M02,10242,1110,12461,95832,14425,68896
2008M03,9126,988,13876,84991,16289,61831
2008M04,8914,1429,13608,55980,16420,47421
2008M05,8090,1063,13458,36712,15216,34572
2008M06,7752,711,13465,30673,14175,30574
2008M07,7498,1153,15356,40166,14258,33937
2008M08,7891,1163,15117,38373,13232,32028
2008M09,7737,1199,13860,35310,12794,29628
2008M10,8086,1168,14118,40871,12388,31431
2008M11,8927,1995,13595,58469,12139,36721
2008M12,7896,1370,11117,71968,13025,77420
2009M01,8275,1001,10190,85083,14211,81315
2009M02,9783,1138,13111,88868,15022,66592
2009M03,9555,1370,14065,73416,15483,56759
2009M04,8031,973,13617,54854,15800,48482
2009M05,7419,686,13029,35023,14242,33135
2009M06,6944,541,12895,28279,12852,28249
2009M07,7243,846,14778,38426,12583,32069
2009M08,7227,939,14708,35768,11887,29478
2009M09,7078,888,14197,37236,11159,28460
2009M10,7602,950,14690,42239,10648,31868
2009M11,8477,1080,14528,59021,11753,37499
2009M12,7701,963,11612,77487,12957,81744
2010M01,7628,1228,11556,91358,14305,85404
2010M02,9159,1156,14491,96347,14823,67347
2010M03,9960,1501,15349,77211,15695,54615
2010M04,8448,1313,14904,56146,15403,45055
2010M05,8260,1158,14026,35742,14031,31211
2010M06,7491,749,13729,29042,11802,28543
2010M07,7535,957,15749,39375,11396,32749
2010M08,7787,1017,14957,36859,11114,30476
2010M09,7671,1216,14120,37769,10686,27960
2010M10,8037,1412,13830,40636,11458,31272
2010M11,8554,1574,13400,59039,12783,37498
2010M12,7400,788,11019,77276,14422,77381
2011M01,7105,778,10534,95620,16688,81585
2011M02,9481,1249,14421,94959,16653,65819
