Date,TokyoMax,TokyoMin,BangkokMax,BangkokMin,HongKongMax,HongKongMin,NewDelhiMax,NewDelhiMin,KualaLumpurMax,KualaLumpurMin
2000M01,11.2,4.2,32.8,24,19.5,14.3,20.1,8.1,32.2,23.5
2000M02,9.9,2.4,33.5,23.6,17.8,13.3,21.9,9.1,32.9,23.6
2000M03,13.5,5.2,34.2,26.1,22.9,17.7,29.7,14.4,33.3,23.9
2000M04,18.7,10.7,33.5,26.3,27.3,21.7,38.4,22.4,33,24.2
2000M05,24,16.5,34,26.3,30.5,24.6,40,27.7,33.9,24.5
2000M06,26.1,19.5,32.6,26,32.4,26.4,36.6,27,32.6,24
2000M07,31.6,24.5,32.5,25.9,33.2,26.9,33.7,26.6,33.1,23.7
2000M08,32.4,25.4,32.6,25.6,32.8,26.9,34.2,26.7,32.3,23.5
2000M09,28.9,22.7,32.8,25.5,32.1,25.6,34.7,25.2,32.5,23.8
2000M10,21.9,16.2,32.6,25.2,29.9,23.9,34.4,20.1,32.9,23.7
2000M11,16.7,10.5,32.6,23.8,24.3,18.2,28.8,13.6,32.3,24
2000M12,12.6,5.2,33.4,24.1,22.3,15.6,24.4,7.2,32.6,24
2001M01,8.6,1.7,33.3,25.1,21.2,14.6,19.7,6.7,32.2,23.6
2001M02,10.7,2.8,33.7,25.5,21,14.1,25.4,9.9,32.3,23.7
2001M03,14.4,5.7,33.1,25.6,24.8,18.4,30.4,14.9,33.5,24.3
2001M04,20.4,11.3,35.7,28.3,26.3,20.7,35.9,20.7,33.1,24.2
2001M05,23,16.4,33.5,26.1,31.1,25,38.6,25.9,33.6,24.7
2001M06,26.6,20.3,33.1,26.3,31.7,25.8,35.6,26.4,33.4,24
2001M07,33,25.2,33.1,26.7,32,26.1,34.7,27.4,33,23.8
2001M08,30,23.6,32.7,26.3,33.5,27.1,35.1,27,32.9,24.1
2001M09,26.4,20.4,33.6,25.5,32.1,26.1,36.1,24.6,33.1,23.8
2001M10,22.5,15.5,32.7,25.2,30.4,24.4,34.3,19.9,32.7,23.9
2001M11,16.7,9.5,31.7,22.8,25.6,18.2,29.1,12.7,32.5,23.9
2001M12,12,4.9,32.2,23.1,21.1,14.8,23.3,8.9,32.5,23.7
2002M01,11.5,3.4,32.4,23.2,20.4,13.6,20.8,7.6,33.4,23.3
2002M02,11.9,4.4,33.6,25.7,22.4,15.9,24.2,10.1,34.6,24
2002M03,16.5,8.1,33.5,26.4,25.5,19.6,31.1,15.9,34.6,24.4
2002M04,20.3,12.4,35.7,27.3,29.4,22.6,38.3,22.4,33.9,24.2
2002M05,22.3,15.3,33.6,25.8,31.6,24.9,42.4,27.4,34.4,25.2
2002M06,25.3,18.6,33.7,25.5,33,27,39.1,28.3,33.4,24.5
2002M07,31.7,25.1,33.3,25.8,32.9,26.8,39.3,30.5,33.5,24.4
2002M08,32.1,24.8,32.5,24.5,32.8,26.3,34.6,27.1,33.2,24.2
2002M09,26.2,20.4,32.5,24.2,31,25,32.5,23.4,32.8,23.6
2002M10,22.6,15.5,32.9,23.2,28.4,22.8,33.2,19.9,33.2,24
2002M11,15.2,8.2,32.7,24.1,24.9,18.3,28,13.2,32.8,23.9
2002M12,10.4,4.1,33.2,25.1,21.2,15.1,23.6,8.7,33.3,24
2003M01,9.3,2,32.4,23,19.9,12.3,17.7,6.5,32.7,24.1
2003M02,9.9,3.2,33.9,25.4,22.9,16.4,23.5,11.1,33.3,24
2003M03,12.7,5.1,33.8,25.7,23.2,17.1,29.6,15.3,34.3,24.4
2003M04,19.2,11.5,35.9,27.6,28.4,22.1,37.8,22,33.6,24.5
2003M05,22.4,15.5,35,26.8,31.4,25.4,39.8,25.1,34.3,24.8
2003M06,26.6,20.2,34,26.4,31.6,25.9,39.9,28.7,33.9,24.3
2003M07,26,20.1,32.7,25.8,34.3,27.5,34,26.3,32.9,23.9
2003M08,29.5,23.1,33.1,26.1,33,26.6,33.8,26.7,33.6,24.4
2003M09,28.1,21,32.1,25.4,32,25.9,32.7,25.2,32.8,23.9
2003M10,21.4,14.6,33.3,25.4,29.6,22.9,33,18.1,32.7,23.7
2003M11,17.4,11.5,34.7,25.4,25.8,19.2,28,11.7,32.9,24
2003M12,13.2,5.7,32.4,22.4,21.4,13.8,20.9,9.7,32.4,23.6
2004M01,10.1,3.1,32.9,23.5,19,12.8,18.7,8.2,33.6,23.8
2004M02,12.9,4.3,32.6,23.9,20.7,14.5,25.7,10.6,33.7,23.8
2004M03,14,5.7,34.9,26.6,22.9,17.2,33.6,17.2,33.9,24.4
2004M04,21.3,11.7,36.9,27.4,27.6,21.3,37.8,22.6,34,24.4
2004M05,23.7,16.1,33.9,26.4,30.6,24.1,39.4,25.8,34,24.6
2004M06,27.5,20.3,33.1,25.7,33.3,27,37.6,26.4,33.6,24.1
2004M07,33.1,25,33.6,26,32.7,26.5,37.7,28.4,31.9,22.9
2004M08,31,24.1,33,26,32.8,26.4,33.7,26.2,32.9,23.8
2004M09,28.7,22.2,32.7,25.7,31.9,25.4,35.4,24.9,33,23.4
2004M10,20.7,14.8,34.4,25.8,29.1,21.9,31.1,19,32.5,23.6
2004M11,19,12.7,34.7,25.8,26.6,20,28.6,12.7,32.6,23.5
2004M12,13.4,6.6,33.1,22.2,22.5,15.4,23,9.6,32.2,23.8
2005M01,10,2.6,32.4,23.1,18.9,12.5,20.1,7.8,33.4,23.4
2005M02,9.9,2.5,33.9,25.6,19.7,13.8,23.5,10.9,34.7,24.2
2005M03,13.1,5,34.4,25.4,21.3,14.8,30.5,17,34.8,24.5
2005M04,19.6,10.7,35.3,26.8,26.8,20.9,36.4,20.4,34,24.6
2005M05,21.9,14.1,35.1,27.3,30.8,25.2,39.6,24.7,33.1,24.4
2005M06,26.7,20.2,33.8,27.1,31.4,25.8,40.3,28,33.7,24.6
2005M07,29.1,22.6,33.3,26.2,33.2,26.8,34.2,26.8,32.3,23.6
2005M08,31.8,25.1,33.4,26.3,32.5,26.2,35.8,27.1,32.9,23.9
2005M09,28.2,21.8,32.8,25.7,32.9,26.4,33.8,24.9,33.8,24
2005M10,22.3,16.6,33.5,25.4,30.7,24,33.1,18.7,32,23.6
2005M11,17,9.6,33.3,25.3,30.5,24,29.5,13.5,32.3,23.4
2005M12,10.2,2.9,30.6,22.8,20.9,14,22.6,5.9,31.4,23.6
2006M01,8.5,2,33,23.5,20.1,14,22.5,7.2,31.7,23.2
2006M02,10.5,3.3,34.1,25.5,21.8,15.6,29.6,13.7,33,23.3
2006M03,14,5.9,35.1,26.5,22.6,16.5,29.8,15.2,33.6,24.1
2006M04,17.5,10.1,35.3,27.1,28.1,21.9,37.6,20,33.1,24
2006M05,22.7,15.7,34.3,26.8,29.7,24.2,39.9,24.5,32.7,23.9
2006M06,25.4,20.1,33.7,26.2,31.4,26.5,38,24.4,32.3,23.7
2006M07,28.6,23.3,33.5,26.7,33.1,27.3,35,26.9,32.4,24.1
2006M08,31.1,24.8,33.3,26.3,32.6,26.4,35.3,26.5,32.1,23.7
2006M09,27.1,20.7,33.6,25.5,30.9,24.6,34.5,24.6,31.9,23.4
2006M10,22.9,16.7,34.2,25.7,30.8,24.5,33.5,20.5,32.4,23.8
2006M11,17.9,11,35.1,26,27.1,20.8,28.7,13.8,32.2,23.2
2006M12,12.5,6.7,33.2,23.1,22,15,23.1,9.1,32.1,24.1
2007M01,10.9,4.6,33.4,23.4,19.3,13.3,21.7,7,31.8,23.7
2007M02,12.8,5,34,24.3,23.3,17.5,24.1,11.9,32.7,23.3
2007M03,15,6.8,35.7,27.3,23.7,18.5,29,15.5,32.8,23.9
2007M04,17.9,9.9,36.7,26.9,25.5,19.5,38.3,23,33.2,23.8
2007M05,24,16,34.3,26.1,31,24.4,38.8,25.2,33.3,24.4
2007M06,27.1,20,35.2,26.2,32.4,26.6,38,28.3,32.9,24.2
2007M07,27.4,21.8,33.8,25.7,34,27.8,35.9,27.1,32.3,23.8
2007M08,33,25.9,33.7,26,32,26.4,34.9,27.1,32.1,23.6
2007M09,28.5,22.4,33.9,25.7,31.9,26.1,34.6,24.9,32.4,23.7
2007M10,22.2,16.1,33.1,25.6,29.9,23.8,33.3,17.6,31.6,23.6
2007M11,16.6,10.2,32.6,23.5,25,18.2,28.8,12.6,31.5,23.5
2007M12,12.6,5.6,34.4,24.4,22.9,17,22.7,8.1,31.4,23.3
2008M01,9.4,2.7,33.5,23.5,18.4,12.8,20.8,6.5,32.4,23.3
2008M02,9.6,1.9,32.9,24.5,15.8,10.6,23.9,8.8,32.7,23
2008M03,14.9,7.2,34.7,26.1,24.4,17.7,33.5,17.2,32,23.2
2008M04,18.4,11.4,35.8,26.8,26.9,21.6,36.4,21.2,32.5,23.7
2008M05,22,15.4,34.1,25.9,29.3,23.9,36.9,24.3,32.9,24.4
2008M06,24.6,18.4,33.9,25.6,30.5,25,35.3,26.4,32.1,23.8
2008M07,30.9,24.2,33,25.5,32.5,26.6,35.4,26.9,31.7,23.6
2008M08,30.7,24.1,33.5,25.5,32.3,26.1,33.9,26.3,32.1,23.9
2008M09,27.7,21.7,33.3,25.2,32.8,26.6,34.1,24.1,32.1,23.4
2008M10,22.6,16.4,33.4,25.1,30.5,24.8,34.2,20.8,32.2,23.9
2008M11,16.4,10,32.2,23.8,25.9,19,28.8,13,31.8,23.9
2008M12,13.7,6,31.6,21.7,22,14.9,24.2,10.2,31.4,23.3
2009M01,10.2,3.5,31.4,20.7,18.9,11.8,22.1,9.3,31.9,23.1
2009M02,11.5,4.4,34.9,25.1,25.2,18.6,26.3,11.3,32.4,23.4
2009M03,13.7,6.3,35.2,26.2,23.1,17.6,31.9,16.2,32.4,23.4
2009M04,20.2,11.9,35.8,26,26.2,20.2,37.4,22,33.5,24.3
2009M05,23.6,16.9,34,25.7,29.8,23.7,40,25.9,34.2,24.7
2009M06,25.8,19.8,33.5,26.1,32.2,26.4,41.1,28.3,33.9,24.9
2009M07,29.3,23.5,33.2,25.7,33.1,27.1,37.2,27.7,33,24.2
2009M08,30.1,23.8,34.1,25.6,33.6,27.5,35.5,27,32.8,24.2
2009M09,26.5,20.2,33.9,25.2,33.3,27.2,33.9,25,32.5,24.2
2009M10,22.3,16,33.6,24.9,30.5,24.5,33,18.9,32.9,24.2
2009M11,17,10.1,33.2,23.6,24.1,17.2,27.2,13.4,31.8,23.8
2009M12,12.4,6.2,33.1,23.7,20.4,15,23.6,8.8,32.2,23.8
2010M01,11,3,32.9,24.3,20,14.5,19.2,8.3,32.9,23.6
2010M02,9.9,3,33.9,26.7,20.8,15.7,25.7,11.7,34,24.4
2010M03,13.2,5.1,35.6,26.6,24,17.7,34.1,18.6,34.2,24.5
2010M04,16.6,8.6,36.9,28.3,25,19.4,40.2,24.2,34.9,25
2010M05,23,15.4,36.7,27.9,30.1,24,41.8,27.6,34.9,25.7
2010M06,27.5,20.5,35.8,26.7,30.9,25.9,40.4,28.4,34,25.4
2010M07,31.6,25,34.5,26.1,33.7,27.2,35.6,27.4,33.6,24.6
2010M08,33.5,27,33.7,25.4,33.1,26.8,33.9,26.7,33.9,25.3
2010M09,29,22.3,33.9,25.4,32,25.8,32.7,24.5,33.4,24.6
2010M10,21.8,16.5,32.5,24.9,28.7,23,33,21,34.3,25.1
2010M11,17.2,10,32.7,24.5,25.4,18.8,27.6,15.4,33.4,24.9
2010M12,13.7,6.2,32.5,23.7,21.9,14.7,22.3,7.9,32.1,24.2
2011M01,9.1,1.5,32.4,22.5,15.8,10.1,20,6.5,31.8,24.2
2011M02,11.2,3.2,34.1,25,19.5,13.6,24.8,11,34.1,24.5
2011M03,12.3,4,31.5,23.8,21.2,15.1,30.4,16.2,33.5,24.3
2011M04,18.9,10.3,34.2,25.9,27.4,20.5,36,20.7,33.9,25
2011M05,22.2,15,34.9,26,29.9,23.9,40.1,26.6,34.4,25.3
2011M06,26,19.9,33.4,26.4,32.5,26.6,38,26.9,33.7,25.2
2011M07,30.9,24.5,33.3,25.5,33,27.1,35.7,27.2,33.4,25
2011M08,31.2,24.6,33.2,25.5,34,27.6,34.6,26.6,33.4,24.6
2011M09,28.8,22,33.1,25.6,32.4,26.4,34.3,25.3,33.4,24.7
2011M10,23,16.5,33,25,28.6,23,33.4,20.1,33.4,24.9
2011M11,18.3,11.7,34.2,25.6,26.7,21.2,29.3,14.9,32.9,24.8
2011M12,11.1,4.2,32,22.5,20.2,13.8,24,8,32.4,24.6
2012M01,8.3,1.8,33,24.9,16.9,12.3,20.3,7.5,33.6,24.5
2012M02,9.1,2.2,33.6,25.6,19.3,13.5,24.3,9.9,34,24.5
2012M03,12.5,3.5,36,27.1,23.6,17,31.6,15.2,33.4,24.7
2012M04,18.5,11,36.9,27.6,27.8,22.4,35.8,21.6,34.1,25.1
2012M05,23.6,16.1,35.6,27.2,31.4,26.3,41.2,26.4,34.1,24.9
2012M06,24.8,18.6,34.2,26.5,32.3,26.9,42.1,30.4,34.4,24.9
2012M07,30.1,23.5,33.5,25.8,32.5,26.8,36.9,28.3,33,24.6
2012M08,33.1,26.3,33.5,25.6,33.5,27.2,33.6,26.3,33.3,24.5
2012M09,29.8,23.3,32.9,25.1,32.2,25.9,34.3,25,33,24.6
2012M10,23,16.2,33.6,25.5,29.9,23.7,32.6,18.5,33,24.5
