Date,BrisbaneMax,BrisbaneMin,SydneyMax,SydneyMin,GoldCoastMax,GoldCoastMin,Melbournemax,MelbourneMin,Canberramax,CanberraMin
2000M01,28.2,19.1,24.9,17.7,27.5,20.2,24.3,15.9,24.5,10.1
2000M02,27.7,19.4,27.9,19.7,26.6,20.7,28.7,18.9,28.9,13.2
2000M03,27.9,19.3,25.2,18.9,27,20.9,25.1,16.4,25.5,12.3
2000M04,25.7,16.2,22.8,14.8,25.2,18.7,20.8,12.7,20.3,5
2000M05,23.1,12.9,19.8,11.3,22.9,15.9,16,9.9,15.2,2.3
2000M06,20.6,8.3,17.1,7.6,20.5,12.3,14.6,7.7,12.4,-1.9
2000M07,21.2,6.8,17.5,7.8,21.8,10.2,14.4,6.3,11.8,-1
2000M08,22.4,7.7,18.2,9,22.1,11,15.7,7.1,13.1,-0.1
2000M09,25.1,11.3,22.8,12.4,25.7,13.9,18.3,9.3,17.5,4.1
2000M10,25.5,15.1,22.8,14,25.5,16.3,19.2,10.1,18.8,4.6
2000M11,25.6,16.7,23.1,17.3,26.4,18.1,23.7,14.9,22.4,11.3
2000M12,28.3,19.1,28.2,19.3,28,20.1,26.2,13.8,27.8,10.3
2001M01,29,20.5,28,20.4,29.2,21.6,29.4,16.7,31,13.8
2001M02,28.1,19.4,26.9,20.7,28.2,20.5,29.4,17.3,28.4,13.8
2001M03,29,19.5,25.1,18.6,28.8,20.9,24.4,13.5,23.5,9.2
2001M04,26,15.9,23.5,15,26.2,18,20.7,11.1,21.5,4.8
2001M05,23.6,11,18.8,10.8,23.6,13.4,17,9.4,16.9,-0.5
2001M06,22.5,9.9,19.2,8.9,23,12.6,15.9,9,14.2,-1.1
2001M07,21.5,8.2,16.9,8.9,21.8,10.7,14.7,7.8,12.9,0
2001M08,22,7.8,19.1,8.2,22.5,10.6,15.6,7.9,13.7,0.1
2001M09,24.1,11,21.9,12,24,13.6,19.5,9.6,18.6,3.4
2001M10,26.6,13.8,23.8,13,26.3,15.8,19.3,9.6,18.9,4.1
2001M11,26.5,16.5,23.5,15,26.8,17.2,21.1,10.9,22.6,6
2001M12,29.2,20.3,27,18,29.3,20.5,21.5,12.2,26.7,10.1
2002M01,30.2,20.6,26.8,19.2,29.8,21.4,25.1,14.4,28.8,11.7
2002M02,30.1,20.5,25.1,18.6,30.4,22,25.5,14.2,24.6,13
