Date,AucklandMax,AucklandMin,ChristchurchMax,ChristchurchMin,DunedinMax,DunedinMin,HamiltonMax,HamiltonMin,WellingtonMax,WellingtonMin
2000M01,23.4,15.5,20.2,10.8,18.2,8.8,23.8,12.4,20,14.2
2000M02,23.4,16.4,21.7,11,20.9,9.8,24.9,12.2,20.5,14.7
2000M03,22.6,14.8,19.7,9.1,18.9,7.3,24.3,10.1,18.7,12.7
2000M04,20.2,13.5,17.1,6.7,16.6,5.1,20.3,10.3,17.7,12.6
2000M05,18,11.8,15,4.2,15.1,2,17.4,8.3,15.9,10.6
2000M06,15.6,9.2,13,2.1,12.2,2.3,14.5,5.7,13.8,9
2000M07,15.8,10.2,12.2,2.9,12,-0.9,15.7,7.4,14.2,7.2
2000M08,15.5,7.9,12.2,1.3,11.6,2,15.1,3.6,13.3,7.3
2000M09,16.7,9.4,14.9,4.9,14.8,4,16.4,5.7,14.5,9.5
2000M10,18,11.5,17.2,5.9,17.3,5,18.3,8.4,16.7,10.7
2000M11,18.5,11.6,16.3,4.5,15.9,4.6,18.6,8.1,16.2,10
2000M12,23,15.7,22.9,11.2,22.4,9,22.6,13.4,20.9,14.7
2001M01,22.9,15.2,20.4,10.1,19.1,8.6,23.2,11.9,21,14.2
2001M02,24.7,17.4,23,11,21.7,10,25,14.7,22.5,15.1
2001M03,23.3,14.6,20.9,9.4,20.7,6.7,22.7,11.5,20.2,13.8
2001M04,20.1,13,19.2,5.4,18.5,3.5,19.7,8.8,18.4,11.7
2001M05,17.8,12.3,13.9,4.9,12.6,4.2,17.1,9.2,16.1,11
2001M06,15.4,7.1,12.3,-0.3,12.6,1.2,14.3,2.9,13.7,8.7
2001M07,13.8,6.1,10.1,-1.2,10.2,-1.2,13.2,1.8,11.6,5.2
2001M08,15.6,8.3,13.6,1.9,13,2.1,15,5.1,13.7,8.5
2001M09,16.8,9.9,15.9,4.1,16.3,3.5,17.1,7,15.5,9.1
2001M10,19.5,13,17.2,7.5,16.6,6.2,19.9,10,16.7,11.6
2001M11,20,13.2,17.8,8.7,17.7,7.1,20.3,10.9,17.9,12.3
2001M12,22.3,16.5,21.3,11.3,19,10.4,22.3,14.7,20.1,14.7
2002M01,23.5,15.5,20.5,12.6,19.8,10.9,23.6,12.7,20.8,15.2
