Date,LosAngelesMax,LosAngelesMin,NYMax,NYMin,HoustonMax,HoustonMin,ChicagoMax,ChicagoMin,SeattleMax,SeattleMin
2000M01,19.6,10,4.6,-5.6,21.6,7.4,1.8,-8.1,7.9,1.4
2000M02,18.9,10.1,7,-2.1,23.8,9.3,6.7,-2.6,10.6,2.6
2000M03,18.6,10.1,12.5,1.6,26.3,12.5,14.4,0.8,11.5,2.9
2000M04,20.2,12.5,14.8,4.7,27.1,12.6,15.7,2.7,16,6.2
2000M05,21.9,14.2,21.4,11.1,31,20.4,23.3,10.4,16.7,8
2000M06,23.4,16.6,26.9,15.9,32.6,21.7,26.1,13.8,22.1,10.7
2000M07,23.7,16.8,27.5,18.1,36.6,22.2,27.9,16.4,24.2,12.3
2000M08,24.9,18.2,27.3,18.5,36.7,22,28.4,16.7,23.8,11.7
2000M09,25.2,16.7,23.8,14.7,34.3,19.1,25.1,12,21.3,10.6
2000M10,21.7,13.8,19.3,8.3,27.8,15.2,20.4,7.6,16.5,7.3
2000M11,20.5,8.7,11.8,3.1,21,9.3,8.1,-1.5,10,1.9
2000M12,20.6,9.2,4.4,-4.5,15.4,2.6,-3.1,-12.9,8.4,1.6
2001M01,18.4,7.4,4.1,-3.9,16.2,4,0.2,-7.9,9.8,1.7
2001M02,17.2,7.9,6.5,-3.2,21.4,8.5,2.1,-7.2,9.4,0.5
2001M03,17.7,10.9,8.5,-0.4,20.6,7.3,7.5,-4.7,11.9,3.2
2001M04,18,10.1,16.5,5.6,27.9,16.2,20.2,4.6,14.1,4.7
2001M05,21.4,14.3,22,11.3,30.4,17.6,22.9,9.5,19.3,7.1
2001M06,23.3,16,27.4,17.3,32.5,21.1,26.1,14.1,19.8,9.6
2001M07,23.4,16.5,27.5,17.6,34.4,22.7,30.6,17.4,23.4,11.1
2001M08,23.6,16.9,30.1,20.3,34.6,22.7,29,17.7,23.9,12.7
2001M09,23.5,16.5,24.9,14.7,31,19.5,23.1,11.2,21,10.6
2001M10,22.2,15,19.6,8.8,27,12.7,17.2,6.1,14.8,7
2001M11,20.6,11.5,16.1,4.9,24.7,10.7,15.7,3.4,11.6,4.9
2001M12,18.6,8,11,2.1,20.1,7.2,5.8,-3.4,9,1.6
2002M01,18.4,7.6,8.6,-0.8,19.8,6.2,5.1,-4.7,7.7,2.3
2002M02,21.8,8.4,9.9,-1.2,19,3,5.7,-5.3,10,1.4
2002M03,19.6,9.6,11.9,1,23.1,10.1,7.4,-4.2,9.5,1.6
2002M04,18.6,11.2,17.9,6.3,28.1,17.8,16,4.7,14.3,4.8
2002M05,19.8,12.6,20.3,9.2,30.1,19.5,17.4,5.8,16.2,5.6
