Date,CapeTownMax,CapeTownMin,BuenosAriesMax,BuenosAriesMin,ParisMax,ParisMin,MadridMax,MadridMin,TokyoMax,TokyoMin,BrisbaneMax,BrisbaneMin,AucklandMax,AucklandMin,LosAngelesMax,LosAngelesMin
2000M01,29.4,15.6,28.3,21.4,6.5,1.8,9.7,-1.4,11.2,4.2,28.2,19.1,23.4,15.5,19.6,10
2000M02,28.7,16.7,28,20.5,10.4,3.7,17,1.4,9.9,2.4,27.7,19.4,23.4,16.4,18.9,10.1
2000M03,27.3,15.7,25.1,18.3,12.2,4.3,17.6,4.3,13.5,5.2,27.9,19.3,22.6,14.8,18.6,10.1
2000M04,25.9,11.5,22,15.9,14.7,6.5,14.9,5.8,18.7,10.7,25.7,16.2,20.2,13.5,20.2,12.5
2000M05,22.4,9.6,17.5,11.9,20.4,11.7,23.3,10,24,16.5,23.1,12.9,18,11.8,21.9,14.2
2000M06,21.3,8.6,15.6,10.1,23.3,13,30.8,13.5,26.1,19.5,20.6,8.3,15.6,9.2,23.4,16.6
2000M07,19.4,6.9,13.1,6,21.9,12.8,31.7,15.7,31.6,24.5,21.2,6.8,15.8,10.2,23.7,16.8
2000M08,20.3,9.3,16.4,9,25.2,14.9,32.2,15.4,32.4,25.4,22.4,7.7,15.5,7.9,24.9,18.2
2000M09,19.8,8.5,17.7,10.8,21.5,12.7,28.3,11.9,28.9,22.7,25.1,11.3,16.7,9.4,25.2,16.7
2000M10,24.1,9.6,21.4,14,15,9.2,32,8.1,21.9,16.2,25.5,15.1,18,11.5,21.7,13.8
2000M11,25.4,13.8,24.6,15.1,11.1,5.9,13,4.3,16.7,10.5,25.6,16.7,18.5,11.6,20.5,8.7
2000M12,25.3,15,28.4,17.9,10,4.7,10.3,3.4,12.6,5.2,28.3,19.1,23,15.7,20.6,9.2
2001M01,27.7,15.4,29.5,20.9,7.6,2.4,10.2,2.8,8.6,1.7,29,20.5,22.9,15.2,18.4,7.4
2001M02,29.5,15.8,29.2,21.3,8.7,2.5,12.8,1.8,10.7,2.8,28.1,19.4,24.7,17.4,17.2,7.9
2001M03,27,13.7,26.7,19.6,12.4,5.6,5.9,7.1,14.4,5.7,29,19.5,23.3,14.6,17.7,10.9
2001M04,24.3,12.2,22.7,14.3,13.1,5.7,19,5.1,20.4,11.3,26,15.9,20.1,13,18,10.1
2001M05,22.1,9.6,17.1,10.8,20.6,10.7,22.4,9,23,16.4,23.6,11,17.8,12.3,21.4,14.3
2001M06,19.1,7.8,16.8,9.8,22.8,11.8,31.2,13.5,26.6,20.3,22.5,9.9,15.4,7.1,23.3,16
2001M07,18.8,8,15.6,7.8,24.8,15.2,30.8,15.1,33,25.2,21.5,8.2,13.8,6.1,23.4,16.5
2001M08,18.5,8.9,19,11.5,25.8,15.4,32,16.9,30,23.6,22,7.8,15.6,8.3,23.6,16.9
2001M09,20.1,9.8,17.9,10.8,17.8,9.8,26.6,12.2,26.4,20.4,24.1,11,16.8,9.9,23.5,16.5
2001M10,23.3,12.4,21.2,15,19.2,12,20.7,10.1,22.5,15.5,26.6,13.8,19.5,13,22.2,15
2001M11,25.7,14.6,24.1,16,9.6,3.4,13,1.1,16.7,9.5,26.5,16.5,20,13.2,20.6,11.5
2001M12,27,15.7,27.2,18.3,5.9,0.4,8.5,-3.6,12,4.9,29.2,20.3,22.3,16.5,18.6,8
2002M01,26.6,15.4,28.9,20.4,8.2,2.8,10.8,1.5,11.5,3.4,30.2,20.6,23.5,15.5,18.4,7.6
2002M02,29.7,15.9,27,18.9,11.2,4.5,14,1.2,11.9,4.4,30.1,20.5,23.8,15.5,21.8,8.4
2002M03,28.5,14.7,25.5,18.7,13.5,4.9,16,4.3,16.5,8.1,28.5,18,22.9,15.7,19.6,9.6
2002M04,25,11.7,20.9,14.2,16.6,5.8,19.3,5.1,20.3,12.4,26.8,15.8,19.8,11.8,18.6,11.2
2002M05,21.7,10,22.6,14.3,19.2,9.9,20.1,8.2,22.3,15.3,24.5,12.8,17.3,11.9,19.8,12.6
2002M06,17.3,7.2,14.7,7.8,23.4,12.8,30.2,14.3,25.3,18.6,22.1,9,16.4,11.3,21.7,15.4
2002M07,17.4,6.7,15.2,7.9,24.6,13.9,31.9,16.5,31.7,25.1,21.7,5.3,14.6,7.7,23.6,17.1
2002M08,20,7,18.4,9.9,24.2,14.4,30.8,15.4,32.1,24.8,21.4,9,14.9,8.3,23.1,16.6
2002M09,22.6,9.9,19.2,10.7,20.5,10.7,25.7,12.4,26.2,20.4,24.7,12,16.7,9.8,23.7,15.9
2002M10,22.9,10.2,23.3,15.4,16.4,7.8,19.9,9.1,22.6,15.5,26,14.6,17.1,9.8,20.7,13.9
2002M11,24.4,11.1,25.9,16.9,11.9,6.7,13.6,5.6,15.2,8.2,27,17.4,18.4,11.6,24.1,11.8
2002M12,28,16.2,26.8,18.6,8.8,3.3,11.4,4,10.4,4.1,28.6,18.9,21.5,14.7,18.4,8.6
2003M01,27.6,16.3,29.8,20.5,5.8,0.1,10,1.1,9.3,2,28.7,19.1,23.1,14.9,23.3,10.7
2003M02,28.6,16.4,28.2,18.6,7.2,0.2,10.7,0.9,9.9,3.2,28,20.8,23.4,15.5,19.4,10.1
2003M03,27.3,15.8,26.1,18.5,15.5,4.9,17.2,4.6,12.7,5.1,26.7,17.8,22.6,15.6,19.8,10.5
2003M04,25.8,13.2,21.7,14,17.4,6.2,18.3,6.5,19.2,11.5,25.6,15.6,20.2,12.6,19.5,10.1
2003M05,22.4,10.3,19.1,11.5,19.9,10,25.4,9.3,22.4,15.5,23.6,11.8,18.2,10.8,20,12.4
2003M06,20.3,5.9,16.3,9.5,16.4,15.3,32.4,16,26.6,20.2,21.8,9.9,16.5,9.9,21.2,15.6
2003M07,19.4,6.4,15.3,7.3,26.1,15.3,32.8,16.8,26,20.1,20.6,8.1,13.8,6.2,25.7,18.3
2003M08,18.4,5.8,15.4,8.1,29.7,16.5,33.8,18,29.5,23.1,21.6,9,15.2,8.1,25.7,17.8
2003M09,19.7,9.2,18,9.8,22.7,11,27.9,13.5,28.1,21,26.2,11.3,16.7,10.5,23.5,16.8
2003M10,24.2,11.2,22.9,14.2,13.9,5.2,18.1,9.1,21.4,14.6,25.4,13.7,17.5,10.1,24.5,15.6
2003M11,26.4,13.5,24.4,15.3,12.3,5.6,14,5.4,17.4,11.5,26.5,15.5,19.2,12.6,20.4,10.1
2003M12,25.8,14.5,27,17.1,8.1,2.2,10.4,1,13.2,5.7,28,19.7,22.2,15.8,19.4,8.5
2004M01,29,17,29.3,20.4,7.3,2,11.5,1.1,10.1,3.1,30.1,21.5,24.5,16.6,19.3,8.6
2004M02,28.4,16.7,27,18.6,9.1,2.1,12.4,0.9,12.9,4.3,30.5,21.7,22.5,16.2,18.3,8.4
2004M03,25.9,13.1,27.1,19,11.2,3.2,13.5,2.9,14,5.7,27.9,19.4,20.8,13.1,21.2,11.7
2004M04,24.7,12.2,24.4,15.3,15.7,6.7,17.3,4.7,21.3,11.7,26.1,16.3,19.2,11.5,21.7,12.2
2004M05,22.3,10.6,17,9.7,18.6,8.3,19.8,8.5,23.7,16.1,23.9,10,17.8,11,23.9,15
2004M06,19.9,8.2,16.8,9,23.4,12.6,31.3,14.8,27.5,20.3,22.4,8.1,16.1,9.4,22.4,16.3
2004M07,19.4,6,15.7,7.8,24.5,14,33.4,16.7,33.1,25,21.7,8,13.9,6.9,24.1,17.4
2004M08,18.5,8.6,17.6,9.2,25.4,15.6,31.4,16.4,31,24.1,22.6,7.4,13.8,7.2,23.9,17.7
2004M09,22.3,9.2,20.1,10.9,22.5,12.8,29.5,13.9,28.7,22.2,23.8,10.8,15.9,8.8,27.3,18.1
2004M10,22.9,11.5,21.8,12.6,16.5,9.3,21.1,9.8,20.7,14.8,26.7,15.4,17.3,11.5,21.1,14.2
2004M11,25.5,15,23.4,16,10.1,5,14.6,2.5,19,12.7,27.4,16.9,20,12.3,20.2,9.6
2004M12,27.9,16,27.5,19.1,5.8,0.9,11.7,1,13.4,6.6,28,19.2,19.4,12.7,20.3,8.3
2005M01,28.6,17,30.8,20.5,8,2.7,12,-3.1,10,2.6,29,20.6,23.2,15.4,18.8,9.6
2005M02,28.7,16.8,27.3,20.1,5.8,0.1,10.4,-1.2,9.9,2.5,29.6,20.4,24.9,17.6,19.1,10.5
2005M03,27.6,14.8,25.5,17.1,11.7,3.7,16.8,3,13.1,5,28.1,17.3,23.9,15.7,18.7,11
2005M04,24.4,12,22.2,12.2,16,7.2,20.2,6.8,19.6,10.7,26.5,16.5,20.7,12.2,20.5,11
2005M05,20.2,10.2,18.7,10.5,19.7,9.4,26.1,11,21.9,14.1,23.6,11.8,18.6,11.7,21.9,13.6
2005M06,18.2,6.7,17.7,10.3,25.1,13.4,33.6,17,26.7,20.2,21.3,11,15.1,8.9,22.1,14.6
2005M07,20.8,7.6,15.9,8.4,25.1,15.4,35.2,18.6,29.1,22.6,21.6,9.2,15.3,9.2,24.1,16.6
2005M08,16.8,7.4,16.8,8.8,24.2,13.2,34.1,16.9,31.8,25.1,21.9,8.6,16,7.9,24.1,17.4
2005M09,20.3,9.4,17.5,10,23,13,28.5,12,28.2,21.8,24.1,11.4,17.4,10.3,24.2,15.5
2005M10,23.8,9.6,21.8,11.8,19.5,11.9,21.4,9.9,22.3,16.6,26.4,16.6,18.6,11.4,23.7,14
2005M11,21.3,10.2,24.6,13.5,14.7,8.2,16.1,4.8,17,9.6,26.5,20.3,19.9,12.7,24.5,12.8
2005M12,25.8,14.5,27.1,17,6.6,1,11,-0.1,10.2,2.9,30.5,20.8,23,16.2,20.1,10
