Month,Total Filled Jobs
2004M07,1795610
2004M08,1792770
2004M09,1809590
2004M10,1815580
2004M11,1856360
2004M12,1893760
2005M01,1776570
2005M02,1846350
2005M03,1883300
2005M04,1871630
2005M05,1867870
2005M06,1857260
2005M07,1858360
2005M08,1856320
2005M09,1876270
2005M10,1866920
2005M11,1901480
2005M12,1935670
2006M01,1813860
2006M02,1879380
2006M03,1922130
2006M04,1887360
2006M05,1895750
2006M06,1876460
2006M07,1881840
2006M08,1887790
2006M09,1885440
2006M10,1902680
2006M11,1937590
2006M12,1970000
2007M01,1868710
2007M02,1923890
2007M03,1946060
2007M04,1936730
2007M05,1939250
2007M06,1917860
2007M07,1919690
2007M08,1921050
2007M09,1921750
2007M10,1939550
2007M11,1967250
2007M12,2007480
2008M01,1923300
2008M02,1969650
2008M03,1977430
2008M04,1981380
2008M05,1959410
2008M06,1948880
2008M07,1954670
2008M08,1923680
2008M09,1930620
2008M10,1946320
2008M11,1976920
2008M12,1993070
2009M01,1872470
2009M02,1925270
2009M03,1938670
2009M04,1910800
2009M05,1889830
2009M06,1873610
2009M07,1873190
2009M08,1853740
2009M09,1863470
2009M10,1867600
2009M11,1894620
2009M12,1942410
2010M01,1833590
2010M02,1898550
2010M03,1929880
2010M04,1906470
2010M05,1893570
2010M06,1884660
2010M07,1873940
2010M08,1868550
2010M09,1875840
2010M10,1888510
2010M11,1919410
2010M12,1958880
2011M01,1843110
2011M02,1908290
2011M03,1943810
2011M04,1911650
2011M05,1906270
2011M06,1900770
2011M07,1889820
2011M08,1895760
2011M09,1899470
2011M10,1903630
2011M11,1940200
2011M12,1983070
2012M01,1865540
2012M02,1932380
