,Australia,Cook Islands,Fiji,Samoa,"China, People's Republic of",India,Thailand,United Kingdom,United States of America,TOTAL ALL COUNTRIES OF MAIN DESTINATION
2000M01,"23,203","1,071","1,936","2,403","2,285","2,270",862,"5,418","4,109","74,217"
2000M02,"16,546",414,"1,052",920,"1,485","1,539",547,"3,023","3,520","46,971"
2000M03,"19,493",335,"1,350",682,"1,288","1,104",481,"3,813","3,319","48,017"
2000M04,"28,882",552,"2,205",964,"1,645","1,055",915,"6,891","5,153","71,445"
2000M05,"21,637",609,"1,758",867,"1,243",755,764,"10,609","5,302","66,311"
2000M06,"26,246",844,926,887,"1,369",630,"1,113","16,382","7,087","83,388"
2000M07,"32,920","1,073",991,941,"1,468",556,"1,361","17,193","8,373","96,868"
2000M08,"29,036",924,710,764,"1,389",645,"1,103","14,251","6,827","81,436"
2000M09,"29,040",870,"1,843",896,"2,119",796,947,"13,721","8,383","87,500"
2000M10,"26,465",739,"2,221",621,"2,297","1,063",880,"9,485","6,724","75,155"
2000M11,"23,891",610,"1,790",559,"2,350","1,224",823,"6,039","5,235","64,892"
2000M12,"27,388",779,"1,548","1,363","3,998","2,372","1,189","6,755","6,116","87,728"
2001M01,"27,603","1,052","1,536","2,073","3,951","2,771","1,241","5,771","6,022","87,091"
2001M02,"17,299",596,865,955,"2,294","1,428",670,"3,662","4,431","51,573"
2001M03,"19,058",638,812,601,"1,639",802,443,"4,043","4,122","49,368"
2001M04,"26,343",792,"1,463",553,"1,798",883,875,"6,894","5,390","68,530"
2001M05,"21,205",694,"1,385",652,"1,581",581,787,"8,984","5,464","64,187"
2001M06,"24,543",887,"2,565",720,"1,899",564,"1,069","12,576","7,324","80,523"
2001M07,"29,679",932,"3,045","1,151","1,969",573,"1,743","13,959","8,624","92,792"
2001M08,"26,215",794,"2,839",695,"1,420",710,"1,354","12,527","7,209","79,735"
2001M09,"30,642",830,"2,653",658,"1,921","1,063","1,372","12,062","6,962","87,737"
2001M10,"25,180",614,"2,238",578,"2,202","1,228","1,174","7,825","5,211","69,777"
2001M11,"20,971",598,"1,457",450,"2,934","1,492",971,"4,775","3,903","59,418"
2001M12,"24,997",841,"1,915","1,394","6,054","2,435","1,313","5,591","5,070","86,023"
2002M01,"25,071",896,"1,863","1,682","5,826","2,512","1,194","4,642","4,919","82,819"
2002M02,"15,035",379,"1,132",727,"3,554","1,447",726,"3,127","3,890","49,526"
2002M03,"19,057",420,"1,311",519,"1,986",975,745,"3,755","3,465","50,615"
2002M04,"22,364",643,"1,717",417,"2,520",812,928,"6,065","4,469","62,336"
2002M05,"19,350",607,"2,091",714,"2,201",773,805,"9,200","5,252","65,224"
