Time,Total Occupancy rate (percent),Hotels Occupancy rate (percent),Motels Occupancy rate (percent),Backpackers Occupancy rate (percent),Holiday Parks Occupancy rate (percent)
1999M01,43.7,49,58.1,55.6,32.5
1999M02,41,64,63.8,59.3,16.3
1999M03,36.5,58.1,60.1,53.8,12.2
1999M04,32.8,51.2,53.9,45.8,12.1
1999M05,24.5,42.7,39.4,32.5,6.1
1999M06,24.1,39.6,41.9,31.5,6
1999M07,26,45.3,43.8,33.1,6
1999M08,26.2,46.7,42.3,33.7,5.9
1999M09,30.7,52,50.6,36.9,8.9
1999M10,29.9,51.1,49.4,38.6,9.3
1999M11,35.2,62.6,55.9,51.3,9.7
1999M12,33.8,46.9,47.1,52.5,17.6
2000M01,44.1,50,58.9,59.8,31.3
2000M02,41.8,66.9,65.5,59.8,15.7
2000M03,36.9,58.2,59.8,54.6,12.8
2000M04,34.3,52.2,56.3,48.8,12.8
2000M05,25.1,43.9,40.2,34.7,5.9
2000M06,23.5,40.4,39.3,31.3,5.4
2000M07,26.9,46.1,45.1,35,5.9
2000M08,26.9,48.4,43.4,34.5,5.6
2000M09,28.3,46.9,47.1,34.6,7.8
2000M10,31.5,53.3,50.5,37.1,9.8
2000M11,36.5,65.7,56.3,48,10.4
2000M12,37.5,51.8,51.1,54,20.1
2001M01,47.7,58.1,63.8,59.3,32.5
2001M02,44.8,69.7,68.3,61.6,17.9
2001M03,40.8,66.1,64.4,55.5,14.1
2001M04,34.6,53.1,54.9,49.1,12.3
2001M05,27.1,47,42.2,36.3,6.4
2001M06,25.3,42.2,42,32.1,5.9
2001M07,28.9,48.1,47.9,37.1,6.3
2001M08,29.2,51.3,45.5,36.6,6.5
2001M09,30.5,50.6,49.6,37.7,8.1
2001M10,32.8,53.7,52.3,40.9,10.1
2001M11,36.2,61.1,55.7,50.5,11
2001M12,37.8,51.8,52.4,50.9,20.4
2002M01,48.1,57.8,64.3,61.4,32.2
2002M02,46.6,70.9,69.5,64.6,19
2002M03,45.1,68.9,68.6,61.7,17.6
2002M04,36.5,56.1,55.2,51.5,12.1
2002M05,28.7,47.7,43.6,39.3,7.6
2002M06,26.7,44,43,35.4,6.4
2002M07,30.6,50.8,49.3,39,6.8
2002M08,29.8,51.1,46.5,37.6,6.7
2002M09,31.7,51.4,50.8,40.1,8.3
2002M10,35,58.9,53.9,42.1,9.9
2002M11,39.9,67.8,59.9,53.8,11.2
2002M12,40.3,54.9,53.8,56.8,21.2
2003M01,48.8,58.9,64.1,62.4,32.2
2003M02,48.8,72.1,71.2,64.2,21.3
2003M03,44,66.1,65.9,60.3,16.6
2003M04,39.6,54.1,59.4,56.4,15.7
2003M05,29.4,44.4,45.3,41.3,8.2
2003M06,26.6,41.4,41.6,37.1,6.3
2003M07,31.3,49.1,50,41.5,7.3
2003M08,29.9,49.6,46.8,37,6.7
2003M09,32.8,52.7,52.5,40.2,8.3
2003M10,35.2,56.1,53.8,44.1,10.2
2003M11,40,67.6,59.6,53.8,11.5
2003M12,42.1,56.6,56.6,57.1,22.6
2004M01,50.4,61,66.3,62.1,33.6
2004M02,48.9,71.6,71.7,63.6,20.6
2004M03,45.3,69.4,68.7,58.7,16.5
2004M04,39.5,58.5,60.3,54,14
2004M05,30.1,49.9,45,38.3,7.7
2004M06,29,46.5,45,37.3,7.2
2004M07,32.5,53.1,51,40.5,7.8
2004M08,30.8,52.3,46.9,36.6,7.1
2004M09,32.9,54.9,52.7,38.3,8.9
2004M10,34.2,58.8,52.8,38.8,10
2004M11,41,68.1,61.1,49.2,13
2004M12,40.8,55.8,55.8,50.9,21.6
2005M01,50.9,59.6,67.2,61,34.3
2005M02,49.7,73.9,73.4,61.3,20.4
2005M03,46.4,66.7,69.4,56.8,19.5
2005M04,38.1,57.4,58.6,47,13.3
2005M05,29,47.2,43.4,35.3,7.3
2005M06,29.6,46.5,45.4,36.6,7.3
2005M07,31.6,50.1,49.6,36.5,7.8
2005M08,29.7,48.4,46,33.3,7
2005M09,32.1,52.2,50.1,33.1,9.2
2005M10,33.3,53.9,52.8,35,10.6
2005M11,39.1,64.1,57.9,44.6,12.6
2005M12,38.8,51.5,52.4,49.7,19.9
2006M01,48.8,55.4,64.6,57.4,33.3
2006M02,48.7,71.2,71.3,59.1,20.2
2006M03,44.1,64.8,67,54.9,16
2006M04,37.7,53.5,56.8,47.8,14.5
2006M05,29.2,47.1,43.4,33.5,7.9
2006M06,27.6,44.5,42.7,32,6.6
2006M07,30.7,47.8,47.6,35.9,7.8
2006M08,30.7,50.1,46.6,34.5,7.5
2006M09,32.9,52.3,50.3,34.9,9.7
2006M10,34.8,55.5,52.7,37.5,11.4
2006M11,41,65.7,58.8,47.6,13.3
2006M12,40.4,52.8,53.3,49.7,21.8
2007M01,51.1,58.8,64.9,58.9,35.7
2007M02,51.6,72.2,72.1,60.9,23.8
2007M03,46.9,67.3,67.9,57.2,18.2
2007M04,38.5,53,55.1,49.1,15.6
2007M05,30.8,47.4,44.2,35.5,9.3
2007M06,28.8,44,42.2,35.2,7.4
2007M07,31.7,48.2,46.4,38.6,8.1
2007M08,31.4,49.2,46.9,35.5,8
2007M09,33.4,50.3,49.5,37.3,10.6
2007M10,33.7,53.3,51.1,35.7,11
2007M11,40.5,65.1,57.6,47,13.1
2007M12,40.1,50.7,51.6,48.4,23.5
2008M01,50.8,59.2,62.6,56.4,36.7
2008M02,50.8,72,69.8,58.1,23.6
2008M03,47.6,66.1,65.6,57.5,21.4
2008M04,38.3,56.9,54.6,46.8,13.3
2008M05,30.8,48.8,42.7,37,8.4
2008M06,27.5,42.9,38.2,35.2,6.6
2008M07,31.3,49.3,44.3,37.4,7.8
2008M08,30.5,50.8,42.2,33.8,7.6
2008M09,32.1,51.2,45.8,33.3,10.3
2008M10,34.4,54.7,49.7,36.2,12.2
2008M11,38.2,62,52,43.1,13
2008M12,38.4,50.4,47.7,46.2,21.8
2009M01,48.3,54.5,57.9,54.7,35.9
2009M02,48.2,67.8,63.6,57.1,23.2
2009M03,43.6,63.7,59,54.6,17
2009M04,37.8,53,50.1,48.1,16.1
2009M05,30,46.3,40.4,37.3,9
2009M06,25.4,41.4,34.7,31.1,5.8
2009M07,30.4,50.1,42,35.8,7.1
2009M08,29.1,48.9,40.6,31.8,7.3
2009M09,31.6,50.7,43.8,33.5,10.1
2009M10,33.4,54,46.9,36.1,11.4
2009M11,37.8,60.2,50.2,44.5,13.2
2009M12,39.6,52.6,47.1,48.1,23.1
2010M01,49.5,57.4,57.5,56.3,36.6
2010M02,48.5,70,63.9,57.1,22.3
2010M03,43.7,65.5,59.4,52.5,17
2010M04,37.3,55.4,49.9,44.2,15.4
2010M05,28.1,46.9,37.5,32.6,7.6
2010M06,26.9,44.3,36.7,31.6,6.5
2010M07,30.5,50.9,41.4,34.9,7.3
2010M08,29.1,50.8,39.5,30.4,6.9
2010M09,31.6,53.5,44.3,31.4,9.2
2010M10,33.4,56.1,45.9,34.8,11.4
2010M11,38.9,64.2,50.8,45.3,13
2010M12,39,54.1,46.3,46.5,21.6
2011M01,48.9,59.4,56.7,55.2,35.2
2011M02,47.8,69.4,64.4,55.8,21.5
2011M03,42.6,63.4,60.5,51.3,17.1
2011M04,37.7,56.2,52.9,46.7,14.9
2011M05,29.6,49.9,41.4,32.7,8.8
2011M06,27.6,46.4,40.5,30.5,7.6
2011M07,31.8,53.7,45.6,36,8.3
2011M08,32.1,56,46.9,34.3,7.8
2011M09,32.1,52.2,46.6,36.7,10.4
2011M10,34,54.1,49.4,38.5,11.7
2011M11,39.1,62.9,56.1,43.9,13.6
2011M12,39.6,54.6,49.7,45.8,22.4
2012M01,48,57.3,58.9,53.2,34.2
2012M02,46.5,66.1,63.8,55.4,21.6
2012M03,42.2,64.8,59.6,50.5,15.7
2012M04,36.3,54.4,50.5,44,14.5
2012M05,29,49.2,41.6,30.6,8.4
2012M06,27.7,48,40.6,27.9,7.3
2012M07,29.9,50.8,44.1,30.4,7.8
2012M08,29.3,53.5,42.2,27.5,7.2
2012M09,31.2,52.3,45.7,30.3,9.6
2012M10,34.5,56.5,50.5,34.7,12
