Month,Number
2000M01,753
2000M02,448
2000M03,356
2000M04,504
2000M05,698
2000M06,256
2000M07,361
2000M08,476
2000M09,541
2000M10,812
2000M11,914
2000M12,998
2001M01,762
2001M02,461
2001M03,374
2001M04,521
2001M05,712
2001M06,274
2001M07,384
2001M08,492
2001M09,561
2001M10,821
2001M11,930
2001M12,1014
2002M01,779
2002M02,478
2002M03,391
2002M04,543
2002M05,910
2002M06,287
2002M07,399
2002M08,511
2002M09,584
2002M10,843
2002M11,951
2002M12,1028
2003M01,793
2003M02,491
2003M03,407
2003M04,559
2003M05,755
2003M06,304
2003M07,418
2003M08,536
2003M09,601
2003M10,862
2003M11,973
2003M12,1058
2004M01,587
2004M02,281
2004M03,210
2004M04,349
2004M05,561
2004M06,123
2004M07,225
2004M08,304
2004M09,416
2004M10,642
2004M11,769
2004M12,853
2005M01,572
2005M02,273
2005M03,208
2005M04,341
2005M05,553
2005M06,136
2005M07,231
2005M08,299
2005M09,403
2005M10,632
2005M11,759
2005M12,848
2006M01,561
2006M02,268
2006M03,212
2006M04,331
2006M05,542
2006M06,128
2006M07,225
2006M08,301
2006M09,389
2006M10,624
2006M11,748
2006M12,842
