"Date","Australia","China, People's Republic of","Japan","United Kingdom"
"1998Q4",20288,1089,5938,13831
"1999Q1",22047,1492,6925,23271
"1999Q2",14362,1450,4353,9756
"1999Q3",15775,1551,6855,7899
"1999Q4",21209,2020,6216,15778
"2000Q1",25261,2364,7061,25362
"2000Q2",15891,2541,4417,11618
"2000Q3",17117,2729,7505,8553
"2000Q4",22761,3292,6778,17512
"2001Q1",27539,3771,8169,29409
"2001Q2",17867,3529,5290,12008
"2001Q3",19460,4542,7710,9611
"2001Q4",23603,5674,6213,18316
"2002Q1",28197,6910,7952,34025
"2002Q2",17807,7734,5476,14763
"2002Q3",19420,8716,7990,11494
"2002Q4",24955,8928,7747,21094
"2003Q1",30426,9432,8908,36605
"2003Q2",19857,7314,5369,17073
"2003Q3",20960,6354,7794,13392
"2003Q4",28140,5880,7543,23566
"2004Q1",35468,5528,8533,40104
"2004Q2",23361,4519,5564,18008
"2004Q3",24367,4601,6997,13533
"2004Q4",29689,4766,6678,23879
"2005Q1",37330,4884,7730,41352
"2005Q2",22458,4117,4790,18906
"2005Q3",23878,4239,6027,15460
"2005Q4",29919,4626,5877,23830
"2006Q1",37291,5071,7413,42281
"2006Q2",24032,4422,4459,18743
"2006Q3",24942,4360,5966,13084
"2006Q4",32850,4796,5305,24059
"2007Q1",37850,5331,6238,43611
"2007Q2",23846,4473,3689,17097
"2007Q3",26384,4677,5146,11683
"2007Q4",33016,5072,4799,22492
"2008Q1",41378,5536,6044,43604
"2008Q2",24400,4321,3695,17534
"2008Q3",26825,4389,4795,11827
"2008Q4",33855,5003,4147,21274
"2009Q1",39344,6129,5254,37951
"2009Q2",25402,4742,2679,15028
"2009Q3",29355,4740,3428,10144
"2009Q4",36848,6140,3635,21083
"2010Q1",43797,7271,5391,37139
"2010Q2",26320,5597,3142,13047
"2010Q3",30642,5811,3986,8844
"2010Q4",37501,7266,3807,18189
"2011Q1",43260,8120,4732,32693
"2011Q2",25213,5705,2513,11568
"2011Q3",29521,6414,3834,9795
"2011Q4",37552,7767,3133,19498
"2012Q1",41987,9782,4405,29694
